27, 8pa1-debug-a-our-output_new.txt
  197.11,   192.68,   192.44
  391.73,   408.45,   202.04
  208.01,   209.60,   209.48
  208.61,   211.44,   334.46
  209.21,   213.28,   459.45
  207.24,   334.58,   207.64
  207.85,   336.43,   332.63
  208.45,   338.27,   457.61
  206.48,   459.57,   205.80
  207.08,   461.41,   330.79
  207.68,   463.25,   455.77
  333.01,   210.36,   208.87
  333.61,   212.20,   333.85
  334.21,   214.04,   458.84
  332.24,   335.34,   207.03
  332.84,   337.18,   332.01
  333.44,   339.02,   457.00
  331.47,   460.33,   205.19
  332.08,   462.17,   330.18
  332.68,   464.01,   455.16
  458.00,   211.11,   208.26
  458.60,   212.96,   333.24
  459.20,   214.80,   458.23
  457.24,   336.10,   206.42
  457.84,   337.94,   331.40
  458.44,   339.78,   456.39
  456.47,   461.08,   204.58
  457.07,   462.92,   329.56
  457.67,   464.77,   454.55
  210.46,   211.55,   451.92
  211.28,   213.52,   576.90
  212.11,   215.49,   701.88
  214.05,   336.48,   449.93
  214.88,   338.45,   574.91
  215.70,   340.43,   699.89
  217.65,   461.41,   447.93
  218.47,   463.39,   572.91
  219.30,   465.36,   697.89
  335.41,   207.94,   451.15
  336.23,   209.91,   576.13
  337.05,   211.89,   701.12
  339.00,   332.87,   449.16
  339.82,   334.85,   574.14
  340.65,   336.82,   699.12
  342.60,   457.81,   447.16
  343.42,   459.78,   572.15
  344.24,   461.75,   697.13
  460.35,   204.34,   450.39
  461.18,   206.31,   575.37
  462.00,   208.28,   700.35
  463.95,   329.27,   448.39
  464.77,   331.24,   573.37
  465.59,   333.21,   698.36
  467.54,   454.20,   446.40
  468.36,   456.17,   571.38
  469.19,   458.14,   696.36
  208.33,   451.71,   210.36
  208.22,   449.16,   335.33
  208.12,   446.60,   460.31
  210.58,   576.66,   212.92
  210.48,   574.11,   337.89
  210.37,   571.56,   462.86
  212.84,   701.62,   215.47
  212.73,   699.06,   340.44
  212.63,   696.51,   465.42
  333.31,   449.45,   210.42
  333.20,   446.90,   335.39
  333.10,   444.35,   460.37
  335.56,   574.41,   212.97
  335.46,   571.85,   337.95
  335.35,   569.30,   462.92
  337.82,   699.36,   215.53
  337.71,   696.81,   340.50
  337.61,   694.25,   465.48
  458.29,   447.20,   210.48
  458.18,   444.64,   335.45
