27, 8pa1-debug-d-our-output_new.txt
  204.87,   199.12,   204.43
  393.20,   402.72,   201.59
  210.27,   210.72,   209.25
  207.98,   207.11,   334.18
  205.69,   203.49,   459.11
  210.61,   335.67,   212.88
  208.32,   332.05,   337.80
  206.03,   328.44,   462.73
  210.95,   460.62,   216.50
  208.66,   457.00,   341.42
  206.37,   453.39,   466.35
  335.24,   210.31,   211.53
  332.95,   206.70,   336.46
  330.66,   203.08,   461.39
  335.59,   335.26,   215.15
  333.30,   331.65,   340.08
  331.01,   328.03,   465.01
  335.93,   460.21,   218.78
  333.64,   456.59,   343.70
  331.35,   452.98,   468.63
  460.22,   209.91,   213.81
  457.93,   206.29,   338.74
  455.64,   202.68,   463.67
  460.56,   334.85,   217.43
  458.27,   331.24,   342.36
  455.99,   327.62,   467.29
  460.91,   459.80,   221.06
  458.62,   456.18,   345.98
  456.33,   452.57,   470.91
  208.91,   210.15,   451.04
  207.86,   211.42,   576.03
  206.81,   212.70,   701.02
  206.69,   335.12,   449.75
  205.64,   336.40,   574.74
  204.59,   337.67,   699.73
  204.48,   460.09,   448.45
  203.43,   461.37,   573.44
  202.38,   462.65,   698.43
  333.88,   212.37,   452.07
  332.83,   213.65,   577.06
  331.79,   214.93,   702.05
  331.67,   337.34,   450.78
  330.62,   338.62,   575.76
  329.57,   339.90,   700.75
  329.45,   462.32,   449.48
  328.41,   463.60,   574.47
  327.36,   464.87,   699.46
  458.86,   214.60,   453.10
  457.81,   215.87,   578.09
  456.76,   217.15,   703.08
  456.64,   339.57,   451.80
  455.60,   340.85,   576.79
  454.55,   342.12,   701.78
  454.43,   464.54,   450.51
  453.38,   465.82,   575.49
  452.33,   467.10,   700.48
  209.33,   448.18,   208.75
  212.66,   450.34,   333.68
  215.99,   452.50,   458.62
  206.87,   573.14,   206.65
  210.21,   575.30,   331.59
  213.54,   577.46,   456.52
  204.42,   698.10,   204.56
  207.75,   700.26,   329.49
  211.08,   702.42,   454.43
  334.26,   450.58,   205.37
  337.59,   452.74,   330.31
  340.92,   454.90,   455.25
  331.80,   575.53,   203.28
  335.14,   577.69,   328.21
  338.47,   579.85,   453.15
  329.35,   700.49,   201.18
  332.68,   702.65,   326.12
  336.02,   704.81,   451.06
  459.19,   452.97,   202.00
  462.52,   455.13,   326.93
  465.86,   457.29,   451.87
  456.74,   577.93,   199.90
  460.07,   580.09,   324.84
  463.40,   582.25,   449.78
  454.28,   702.89,   197.81
  457.61,   705.05,   322.74
  460.95,   707.21,   447.68
  209.13,   451.05,   451.04
  209.08,   448.52,   576.02
  209.03,   445.99,   700.99
  210.52,   576.01,   453.57
  210.47,   573.48,   578.55
  210.42,   570.95,   703.52
  211.91,   700.98,   456.10
  211.86,   698.45,   581.08
  211.81,   695.92,   706.05
  334.12,   449.66,   451.06
  334.07,   447.13,   576.04
  334.03,   444.60,   701.01
  335.51,   574.62,   453.59
  335.46,   572.10,   578.57
  335.41,   569.57,   703.54
  336.90,   699.59,   456.12
  336.85,   697.06,   581.10
  336.80,   694.53,   706.07
  459.11,   448.27,   451.08
  459.07,   445.74,   576.06
  459.02,   443.21,   701.03
  460.50,   573.24,   453.61
  460.45,   570.71,   578.59
  460.41,   568.18,   703.56
  461.89,   698.20,   456.14
  461.84,   695.67,   581.12
  461.79,   693.14,   706.09
  450.22,   210.40,   211.45
  447.13,   206.75,   336.36
  444.04,   203.09,   461.27
  451.85,   335.34,   215.15
  448.76,   331.68,   340.05
  445.66,   328.03,   464.96
  453.48,   460.27,   218.84
  450.39,   456.62,   343.75
  447.29,   452.96,   468.66
  575.18,   208.68,   214.49
  572.08,   205.03,   339.40
  568.99,   201.37,   464.31
  576.80,   333.62,   218.19
  573.71,   329.96,   343.10
  570.62,   326.31,   468.01
  578.43,   458.55,   221.89
  575.34,   454.90,   346.79
  572.24,   451.24,   471.70
  700.13,   206.97,   217.54
  697.03,   203.31,   342.45
  693.94,   199.66,   467.35
  701.75,   331.90,   221.23
  698.66,   328.25,   346.14
  695.57,   324.59,   471.05
  703.38,   456.84,   224.93
  700.29,   453.18,   349.84
  697.19,   449.53,   474.75
  449.63,   209.17,   448.37
  453.21,   212.55,   573.27
  456.80,   215.93,   698.17
  452.05,   334.09,   444.92
  455.64,   337.48,   569.82
  459.22,   340.86,   694.72
  454.47,   459.02,   441.46
  458.06,   462.41,   566.37
  461.64,   465.79,   691.27
  574.56,   206.65,   444.85
  578.14,   210.03,   569.76
  581.72,   213.41,   694.66
  576.98,   331.58,   441.40
  580.56,   334.96,   566.30
  584.14,   338.34,   691.21
  579.40,   456.50,   437.95
  582.98,   459.89,   562.85
  586.56,   463.27,   687.75
  699.48,   204.13,   441.34
  703.06,   207.51,   566.24
  706.65,   210.89,   691.14
  701.90,   329.06,   437.89
  705.49,   332.44,   562.79
  709.07,   335.82,   687.69
  704.32,   453.99,   434.43
  707.91,   457.37,   559.34
  711.49,   460.75,   684.24
  450.05,   448.38,   209.95
  452.51,   450.14,   334.91
  454.98,   451.91,   459.87
  450.75,   573.36,   208.17
  453.22,   575.13,   333.13
  455.68,   576.90,   458.09
  451.46,   698.35,   206.39
  453.92,   700.12,   331.35
  456.39,   701.88,   456.31
  575.02,   447.64,   207.49
  577.49,   449.41,   332.46
  579.95,   451.17,   457.42
  575.73,   572.63,   205.71
  578.19,   574.39,   330.68
  580.66,   576.16,   455.64
  576.43,   697.61,   203.93
  578.90,   699.38,   328.90
  581.36,   701.14,   453.86
  700.00,   446.90,   205.04
