27, 8pa1-unknown-h-our-output.txt
  205.96,   201.49,   209.85
  407.48,   409.54,   197.05
  208.99,   208.28,   208.65
  205.51,   206.82,   333.59
  202.03,   205.35,   458.53
  207.32,   333.27,   210.07
  203.84,   331.80,   335.01
  200.36,   330.33,   459.95
  205.65,   458.25,   211.49
  202.16,   456.78,   336.43
  198.68,   455.32,   461.37
  333.93,   209.92,   212.15
  330.45,   208.45,   337.09
  326.97,   206.98,   462.03
  332.26,   334.90,   213.57
  328.78,   333.43,   338.51
  325.30,   331.97,   463.45
  330.59,   459.88,   214.99
  327.11,   458.41,   339.93
  323.62,   456.95,   464.87
  458.87,   211.55,   215.65
  455.39,   210.08,   340.59
  451.91,   208.62,   465.53
  457.20,   336.53,   217.07
  453.72,   335.06,   342.01
  450.24,   333.60,   466.95
  455.53,   461.51,   218.49
  452.05,   460.04,   343.43
  448.57,   458.58,   468.37
  210.34,   211.15,   451.69
  209.50,   209.55,   576.68
  208.65,   207.95,   701.66
  207.73,   336.11,   453.27
  206.88,   334.51,   578.26
  206.04,   332.92,   703.24
  205.11,   461.07,   454.85
  204.27,   459.48,   579.84
  203.42,   457.88,   704.82
  335.31,   213.75,   452.57
  334.47,   212.15,   577.56
  333.62,   210.56,   702.54
  332.70,   338.71,   454.15
  331.85,   337.12,   579.13
  331.01,   335.52,   704.12
  330.08,   463.68,   455.73
  329.24,   462.08,   580.71
  328.39,   460.48,   705.70
  460.28,   216.35,   453.45
  459.44,   214.76,   578.43
  458.59,   213.16,   703.42
  457.67,   341.32,   455.03
  456.82,   339.72,   580.01
  455.98,   338.12,   705.00
  455.05,   466.28,   456.61
  454.21,   464.68,   581.59
  453.36,   463.09,   706.58
  211.03,   451.35,   209.91
  208.87,   451.92,   334.89
  206.70,   452.48,   459.87
  214.22,   576.31,   209.41
  212.06,   576.87,   334.39
  209.89,   577.44,   459.37
  217.41,   701.27,   208.90
  215.24,   701.83,   333.88
  213.08,   702.39,   458.86
  335.98,   448.18,   212.09
  333.81,   448.74,   337.07
  331.64,   449.30,   462.05
  339.16,   573.13,   211.59
  337.00,   573.70,   336.57
  334.83,   574.26,   461.55
  342.35,   698.09,   211.08
  340.18,   698.65,   336.06
  338.02,   699.22,   461.04
  460.92,   445.00,   214.27
  458.75,   445.56,   339.25
  456.58,   446.12,   464.23
  464.10,   569.96,   213.77
  461.94,   570.52,   338.75
  459.77,   571.08,   463.73
  467.29,   694.91,   213.26
  465.12,   695.48,   338.24
  462.96,   696.04,   463.22
  210.27,   449.88,   449.33
  212.01,   448.94,   574.32
  213.74,   448.00,   699.30
  210.23,   574.88,   450.27
  211.96,   573.94,   575.26
  213.69,   573.00,   700.24
  210.18,   699.88,   451.21
  211.91,   698.94,   576.20
  213.65,   698.00,   701.18
  335.26,   449.94,   447.60
  336.99,   449.00,   572.58
  338.73,   448.06,   697.57
  335.21,   574.94,   448.54
  336.95,   574.00,   573.52
  338.68,   573.06,   698.51
  335.17,   699.94,   449.48
  336.90,   699.00,   574.47
  338.63,   698.06,   699.45
  460.25,   450.00,   445.87
  461.98,   449.06,   570.85
  463.72,   448.12,   695.84
  460.20,   575.00,   446.81
  461.94,   574.06,   571.79
  463.67,   573.12,   696.78
  460.16,   700.00,   447.75
  461.89,   699.06,   572.73
  463.62,   698.12,   697.72
  448.80,   211.88,   210.35
  448.03,   210.59,   335.34
  447.26,   209.31,   460.33
  449.73,   336.87,   211.64
  448.96,   335.58,   336.63
  448.19,   334.30,   461.62
  450.67,   461.86,   212.93
  449.89,   460.57,   337.92
  449.12,   459.29,   462.91
  573.80,   210.94,   211.11
  573.02,   209.65,   336.10
  572.25,   208.37,   461.09
  574.73,   335.93,   212.40
  573.96,   334.64,   337.39
  573.18,   333.36,   462.38
  575.66,   460.92,   213.69
  574.89,   459.63,   338.68
  574.11,   458.35,   463.67
  698.79,   210.00,   211.88
  698.02,   208.71,   336.87
  697.24,   207.43,   461.86
  699.72,   334.99,   213.17
  698.95,   333.70,   338.16
  698.18,   332.42,   463.15
  700.65,   459.98,   214.45
  699.88,   458.69,   339.45
  699.11,   457.41,   464.44
  449.81,   211.81,   448.49
  446.31,   214.97,   573.40
  442.81,   218.14,   698.31
  450.30,   336.77,   445.34
  446.80,   339.93,   570.25
  443.30,   343.10,   695.16
  450.79,   461.73,   442.19
  447.29,   464.89,   567.10
  443.79,   468.06,   692.01
  574.76,   211.41,   452.00
  571.26,   214.57,   576.91
  567.76,   217.74,   701.82
  575.25,   336.37,   448.85
  571.75,   339.53,   573.76
  568.25,   342.70,   698.67
  575.74,   461.33,   445.70
  572.24,   464.49,   570.61
  568.74,   467.66,   695.52
  699.71,   211.01,   455.51
  696.21,   214.17,   580.42
  692.71,   217.34,   705.33
  700.20,   335.97,   452.36
  696.70,   339.13,   577.27
  693.20,   342.30,   702.18
  700.69,   460.93,   449.21
  697.19,   464.09,   574.12
  693.69,   467.26,   699.03
  449.89,   450.54,   210.64
  447.09,   448.04,   335.59
  444.30,   445.54,   460.53
  451.05,   575.51,   213.17
  448.25,   573.01,   338.11
  445.46,   570.51,   463.05
  452.20,   700.48,   215.69
  449.41,   697.98,   340.63
  446.61,   695.48,   465.58
  574.85,   449.32,   213.41
  572.06,   446.83,   338.36
  569.26,   444.33,   463.30
  576.01,   574.29,   215.94
  573.21,   571.80,   340.88
  570.42,   569.30,   465.82
  577.17,   699.26,   218.46
  574.37,   696.76,   343.40
  571.58,   694.27,   468.35
  699.81,   448.11,   216.18
  697.02,   445.61,   341.13
  694.22,   443.12,   466.07
  700.97,   573.08,   218.71
  698.18,   570.58,   343.65
  695.38,   568.08,   468.60
  702.13,   698.05,   221.23
  699.34,   695.55,   346.18
  696.54,   693.05,   471.12
  449.96,   450.53,   451.12
  452.07,   449.37,   576.10
  454.18,   448.21,   701.07
  453.41,   575.47,   452.22
  455.52,   574.32,   577.19
  457.63,   573.16,   702.17
  456.85,   700.42,   453.32
  458.97,   699.27,   578.29
  461.08,   698.11,   703.27
  574.89,   447.10,   448.97
  577.01,   445.94,   573.95
  579.12,   444.78,   698.93
  578.34,   572.05,   450.07
  580.45,   570.89,   575.05
  582.57,   569.73,   700.03
  581.79,   696.99,   451.17
  583.90,   695.84,   576.15
  586.01,   694.68,   701.13
  699.83,   443.67,   446.83
  701.94,   442.51,   571.81
  704.05,   441.36,   696.78
  703.28,   568.62,   447.93
  705.39,   567.46,   572.91
  707.50,   566.30,   697.88
  706.72,   693.57,   449.03
  708.84,   692.41,   574.01
  710.95,   691.25,   698.98
