27, 125 pa2-debug-b-our-output2.txt
  191.30,   209.65,   190.45
  397.38,   391.78,   199.98
  100.84,   100.38,   100.99
  104.51,   103.64,   225.64
  108.06,   106.71,   350.77
  102.91,   225.04,    98.11
  106.30,   228.44,   223.09
  110.61,   231.61,   347.43
  105.03,   350.74,    94.60
  108.88,   352.87,   219.73
  112.18,   356.49,   344.86
  225.88,    98.18,    96.96
  229.61,   101.05,   222.40
  232.93,   103.98,   347.04
  227.76,   223.23,    93.97
  231.27,   226.50,   218.77
  235.30,   229.49,   344.50
  229.77,   347.93,    90.80
  233.21,   350.71,   215.67
  237.31,   353.76,   341.19
  350.48,    96.29,    93.36
  354.06,    99.01,   218.95
  358.11,   101.81,   343.64
  353.03,   221.36,    90.35
  356.62,   223.92,   214.98
  360.50,   226.69,   340.60
  354.60,   346.02,    87.54
  358.55,   349.15,   212.03
  362.54,   351.70,   337.73
  100.69,   100.87,   226.58
  103.26,    99.75,   351.27
  105.93,    97.89,   476.15
  102.32,   226.21,   228.61
  104.92,   224.86,   353.31
  107.51,   222.91,   478.21
  104.02,   351.70,   229.94
  106.18,   349.80,   355.20
  108.34,   347.20,   479.61
  225.50,    99.44,   224.10
  228.11,    97.71,   348.64
  230.86,    96.18,   473.50
  227.60,   224.50,   225.70
  229.18,   222.92,   350.54
  231.75,   220.93,   476.07
  228.79,   349.97,   227.22
  231.42,   348.29,   352.01
  233.55,   345.71,   477.08
  351.18,    98.26,   221.17
  353.25,    96.76,   346.70
  355.26,    95.02,   471.90
  351.97,   222.73,   223.56
  354.68,   221.38,   348.53
  356.60,   219.87,   473.72
  353.77,   347.95,   225.16
  355.75,   346.18,   350.18
  358.63,   344.56,   474.92
   98.57,    99.17,   351.13
   96.24,    95.26,   475.57
   94.49,    92.10,   600.55
   95.64,   223.92,   354.56
   93.03,   220.42,   479.17
   91.97,   216.40,   604.01
   92.14,   348.95,   358.20
   90.20,   345.63,   483.18
   88.85,   341.84,   608.06
  223.42,   102.19,   353.29
  221.21,    98.51,   477.32
  219.19,    94.59,   602.94
  219.76,   227.20,   356.12
  218.82,   223.75,   481.00
  217.19,   219.81,   606.46
  217.28,   352.15,   359.71
  215.01,   348.13,   484.71
  213.55,   345.17,   609.73
  348.72,   105.02,   354.47
  346.96,   101.61,   479.63
  344.28,    98.00,   604.78
  345.54,   230.69,   358.45
  343.76,   226.54,   483.06
  341.49,   223.12,   608.12
  341.77,   354.63,   361.70
  340.03,   351.73,   487.19
  338.45,   347.30,   611.38
   98.33,   101.27,   476.80
   95.96,   103.40,   601.60
   93.03,   105.17,   726.75
   99.23,   226.17,   474.52
   96.16,   228.17,   600.30
   93.71,   230.39,   724.92
  100.55,   351.87,   472.82
   97.80,   352.96,   597.97
   95.08,   355.46,   723.12
  223.21,   100.64,   479.32
  220.35,   102.78,   603.99
  217.98,   104.67,   729.28
  224.73,   225.20,   477.28
  221.53,   227.31,   602.94
  218.91,   229.06,   727.79
  225.54,   350.66,   475.31
  222.72,   352.52,   600.54
  219.33,   354.74,   725.41
  347.94,    99.66,   482.23
  345.76,   101.34,   606.95
  343.08,   103.54,   732.19
  348.77,   225.22,   479.82
  346.19,   226.80,   604.82
  343.48,   228.33,   730.57
  349.96,   350.03,   478.69
  347.66,   351.90,   603.45
  345.22,   353.52,   728.19
  101.37,    99.91,   598.48
  103.17,    96.48,   722.84
  105.35,    93.27,   848.02
   97.58,   224.98,   601.49
   99.87,   221.28,   725.97
  101.95,   217.97,   851.39
   94.52,   349.47,   605.05
   96.42,   346.49,   729.77
   98.39,   342.77,   854.33
  226.48,   103.51,   595.68
  227.98,    99.94,   721.01
  229.75,    96.47,   845.94
  222.28,   227.92,   599.65
  224.76,   224.94,   724.38
  226.96,   221.88,   848.99
  218.91,   352.73,   602.91
  221.62,   350.39,   727.45
  223.12,   346.49,   852.91
  351.20,   106.43,   594.35
  353.47,   103.72,   718.48
  355.03,   100.13,   844.11
  347.96,   232.14,   597.06
  349.31,   228.45,   722.13
  351.48,   225.66,   846.99
  343.68,   356.72,   600.72
  346.04,   352.88,   725.48
  347.85,   349.99,   851.15
  101.05,   226.34,    98.07
   99.67,   224.20,   222.95
   98.32,   221.97,   348.64
  102.33,   351.04,   100.13
  100.48,   349.75,   224.75
   98.63,   347.61,   349.77
  102.70,   476.24,   101.55
  101.32,   474.61,   226.52
   99.79,   472.42,   351.84
  226.18,   225.12,   100.04
