27, 125 pa2-debug-c-our-output2.txt
  208.70,   208.24,   205.20
  392.61,   395.94,   206.81
   99.87,   101.28,    99.31
  101.75,    98.19,   224.26
  103.62,    95.08,   349.19
  100.27,   226.24,   102.40
  102.13,   223.14,   227.34
  104.00,   220.04,   352.28
  100.67,   351.20,   105.50
  102.56,   348.11,   230.44
  104.41,   345.00,   355.38
  224.87,   100.93,    97.43
  226.72,    97.82,   222.37
  228.61,    94.73,   347.33
  225.26,   225.89,   100.52
  227.15,   222.78,   225.46
  228.98,   219.70,   350.42
  225.65,   350.85,   103.61
  227.51,   347.75,   228.56
  229.36,   344.65,   353.52
  349.83,   100.59,    95.55
  351.71,    97.46,   220.48
  353.60,    94.39,   345.47
  350.25,   225.53,    98.63
  352.11,   222.45,   223.61
  353.99,   219.33,   348.51
  350.64,   350.50,   101.73
  352.55,   347.39,   226.67
  354.41,   344.30,   351.62
   98.32,   100.60,   224.52
   98.94,   101.72,   349.51
   99.53,   102.82,   474.51
   97.55,   225.59,   223.43
   98.18,   226.71,   348.39
   98.78,   227.82,   473.40
   96.83,   350.61,   222.28
   97.45,   351.69,   347.27
   98.01,   352.83,   472.29
  223.31,   101.34,   223.89
  223.92,   102.47,   348.89
  224.53,   103.56,   473.87
  222.57,   226.33,   222.77
  223.14,   227.46,   347.79
  223.78,   228.57,   472.78
  221.79,   351.34,   221.68
  222.37,   352.45,   346.68
  223.04,   353.57,   471.65
  348.31,   102.10,   223.28
  348.92,   103.23,   348.29
  349.54,   104.32,   473.27
  347.55,   227.12,   222.20
  348.17,   228.20,   347.14
  348.79,   229.33,   472.17
  346.83,   352.09,   221.05
  347.44,   353.21,   346.05
  348.01,   354.32,   471.05
   99.49,    98.12,   351.30
   98.30,    99.18,   476.29
   97.12,   100.24,   601.27
  103.17,   223.05,   350.24
  102.00,   224.12,   475.26
  100.82,   225.19,   600.23
  106.87,   347.99,   349.21
  105.67,   349.08,   474.23
  104.52,   350.12,   599.19
  224.42,    94.43,   352.50
  223.23,    95.48,   477.47
  222.07,    96.58,   602.49
  228.11,   219.37,   351.47
  226.95,   220.43,   476.45
  225.75,   221.50,   601.44
  231.79,   344.30,   350.44
  230.67,   345.37,   475.43
  229.43,   346.44,   600.43
  349.38,    90.74,   353.75
  348.19,    91.79,   478.73
  346.97,    92.88,   603.71
  353.06,   215.66,   352.65
  351.90,   216.74,   477.68
  350.70,   217.80,   602.63
  356.79,   340.61,   351.64
  355.57,   341.69,   476.65
  354.41,   342.76,   601.62
   98.40,    98.40,   474.84
   99.09,    96.45,   599.80
   99.76,    94.50,   724.81
   96.18,   223.37,   476.80
   96.84,   221.41,   601.77
   97.53,   219.46,   726.75
   93.91,   348.34,   478.76
   94.61,   346.38,   603.71
   95.26,   344.44,   728.75
  223.37,   100.64,   474.16
  224.08,    98.73,   599.17
  224.75,    96.76,   724.14
  221.14,   225.62,   476.15
  221.80,   223.68,   601.12
  222.50,   221.72,   726.09
  218.91,   350.59,   478.10
  219.54,   348.63,   603.11
  220.29,   346.70,   728.08
  348.37,   102.92,   473.54
  349.03,   100.97,   598.52
  349.74,    99.04,   723.50
  346.13,   227.89,   475.50
  346.79,   225.93,   600.45
  347.49,   223.97,   725.46
  343.86,   352.86,   477.47
  344.56,   350.91,   602.44
  345.20,   348.97,   727.45
   98.39,    99.71,   600.31
   95.74,    96.08,   725.23
   93.07,    92.44,   850.15
   97.55,   224.66,   603.93
   94.91,   221.01,   728.85
   92.23,   217.39,   853.76
   96.75,   349.60,   607.53
   94.06,   345.98,   732.50
   91.48,   342.32,   857.39
  223.37,   100.48,   603.00
  220.68,    96.81,   727.91
  218.03,    93.19,   852.84
  222.51,   225.41,   606.62
  219.87,   221.76,   731.52
  217.20,   218.11,   856.43
  221.67,   350.34,   610.25
  219.09,   346.73,   735.16
  216.33,   343.09,   860.08
  348.31,   101.22,   605.68
  345.68,    97.59,   730.60
  343.00,    93.96,   855.49
  347.49,   226.15,   609.27
  344.86,   222.50,   734.22
  342.20,   218.87,   859.15
  346.68,   351.10,   612.91
  343.98,   347.48,   737.86
  341.36,   343.84,   862.71
  100.42,   224.04,   101.51
  102.45,   222.28,   226.48
  104.50,   220.53,   351.44
   98.74,   349.01,   103.29
  100.80,   347.28,   228.27
  102.84,   345.51,   353.23
   97.07,   474.00,   105.06
   99.06,   472.23,   230.06
  101.16,   470.46,   355.01
  225.39,   225.77,    99.48
  227.46,   224.00,   224.44
  229.47,   222.26,   349.43
  223.68,   350.73,   101.27
  225.74,   348.98,   226.24
  227.76,   347.22,   351.21
  222.06,   475.74,   103.04
  224.08,   473.96,   228.01
  226.07,   472.19,   353.00
  350.37,   227.47,    97.45
  352.40,   225.73,   222.46
  354.47,   223.96,   347.37
  348.68,   352.45,    99.24
  350.76,   350.69,   224.20
  352.80,   348.94,   349.18
  346.95,   477.39,   101.04
  349.05,   475.67,   226.01
  351.12,   473.91,   350.96
   98.85,   226.08,   226.07
   97.73,   222.72,   351.00
   96.60,   219.35,   475.97
  100.47,   351.05,   229.44
   99.33,   347.66,   354.37
   98.16,   344.31,   479.34
  101.97,   475.96,   232.83
  100.91,   472.59,   357.75
   99.73,   469.26,   482.73
  223.86,   224.46,   227.13
  222.69,   221.11,   352.10
  221.58,   217.74,   477.04
  225.41,   349.41,   230.53
  224.26,   346.05,   355.49
  223.18,   342.68,   480.42
  227.02,   474.36,   233.89
  225.85,   470.99,   358.86
  224.78,   467.64,   483.78
  348.83,   222.87,   228.26
  347.70,   219.48,   353.16
  346.57,   216.12,   478.15
  350.45,   347.81,   231.61
  349.31,   344.44,   356.56
  348.14,   341.08,   481.53
  352.02,   472.75,   235.01
  350.89,   469.38,   359.95
  349.72,   466.01,   484.91
  100.39,   225.81,   350.55
  102.66,   227.07,   475.55
  104.94,   228.35,   600.50
   96.66,   350.73,   349.35
   98.90,   352.03,   474.34
  101.20,   353.29,   599.28
   92.92,   475.67,   348.14
   95.13,   476.96,   473.15
   97.46,   478.21,   598.10
  225.28,   229.54,   348.25
  227.60,   230.81,   473.21
  229.86,   232.09,   598.19
  221.50,   354.47,   347.04
  223.86,   355.75,   472.00
  226.09,   357.02,   596.99
  217.75,   479.40,   345.84
  220.11,   480.69,   470.78
  222.33,   481.96,   595.78
  350.23,   233.26,   345.89
  352.52,   234.54,   470.90
  354.79,   235.82,   595.85
  346.50,   358.20,   344.71
  348.75,   359.49,   469.69
  351.05,   360.76,   594.65
  342.75,   483.14,   343.51
  345.00,   484.41,   468.48
  347.29,   485.70,   593.44
  100.93,   225.74,   474.67
   97.90,   227.00,   599.61
   94.88,   228.26,   724.57
  102.16,   350.74,   473.43
   99.16,   351.99,   598.37
   96.12,   353.26,   723.36
  103.41,   475.74,   472.20
  100.42,   476.96,   597.15
   97.37,   478.24,   722.10
  225.89,   224.51,   477.69
  222.84,   225.78,   602.65
  219.83,   227.03,   727.59
  227.16,   349.50,   476.46
  224.08,   350.75,   601.43
  221.12,   352.03,   726.38
  228.43,   474.49,   475.21
  225.33,   475.75,   600.19
  222.37,   477.01,   725.11
  350.85,   223.29,   480.75
  347.81,   224.55,   605.67
  344.80,   225.80,   730.65
  352.09,   348.28,   479.51
  349.08,   349.54,   604.45
  346.01,   350.81,   729.44
  353.34,   473.27,   478.27
  350.33,   474.53,   603.22
  347.28,   475.77,   728.18
   99.83,   223.04,   598.50
   97.82,   223.00,   723.48
   95.79,   222.96,   848.47
   96.92,   348.01,   598.48
   94.88,   347.98,   723.50
   92.90,   347.92,   848.48
   94.01,   472.96,   598.49
   91.93,   472.94,   723.47
   89.94,   472.88,   848.41
  224.77,   225.98,   600.52
  222.77,   225.93,   725.49
  220.75,   225.88,   850.47
  221.84,   350.93,   600.52
  219.88,   350.90,   725.50
  217.81,   350.87,   850.49
  218.90,   475.90,   600.51
  216.94,   475.86,   725.46
  214.92,   475.80,   850.48
  349.74,   228.90,   602.52
  347.73,   228.85,   727.52
  345.74,   228.82,   852.53
  346.83,   353.87,   602.53
  344.76,   353.84,   727.54
  342.77,   353.80,   852.48
  343.89,   478.83,   602.52
  341.84,   478.77,   727.51
  339.87,   478.72,   852.53
  100.27,   351.31,    98.47
   98.03,   351.67,   223.45
   95.76,   351.97,   348.41
  102.32,   476.30,    98.20
  100.01,   476.63,   223.18
   97.81,   476.94,   348.14
  104.38,   601.29,    97.90
  102.11,   601.62,   222.88
   99.85,   601.94,   347.85
  225.22,   349.27,   100.76
  222.95,   349.60,   225.74
  220.64,   349.92,   350.72
  227.34,   474.28,   100.46
  225.04,   474.58,   225.43
  222.70,   474.90,   350.43
  229.35,   599.25,   100.18
  227.10,   599.56,   225.15
  224.79,   599.88,   350.13
  350.20,   347.22,   103.03
  347.96,   347.54,   228.01
  345.68,   347.87,   352.99
  352.23,   472.16,   102.77
  350.00,   472.53,   227.73
  347.73,   472.85,   352.71
  354.31,   597.15,   102.45
  352.04,   597.51,   227.44
  349.78,   597.85,   352.42
  101.01,   350.89,   223.97
  103.75,   353.58,   348.89
  106.46,   356.30,   473.85
   97.67,   475.82,   221.34
  100.46,   478.49,   346.27
  103.17,   481.24,   471.22
   94.48,   600.79,   218.69
   97.16,   603.44,   343.63
   99.90,   606.16,   468.58
  225.91,   354.12,   221.14
  228.63,   356.81,   346.09
  231.45,   359.52,   471.02
  222.64,   479.04,   218.49
  225.33,   481.74,   343.46
  228.16,   484.45,   468.37
  219.33,   603.97,   215.86
  222.06,   606.67,   340.82
  224.84,   609.38,   465.75
  350.87,   357.35,   218.31
  353.63,   360.05,   343.25
  356.34,   362.76,   468.21
  347.55,   482.28,   215.70
  350.33,   484.99,   340.63
  353.04,   487.68,   465.58
  344.25,   607.21,   213.06
  347.01,   609.92,   338.01
  349.76,   612.61,   462.93
  100.42,   349.47,   350.54
   96.81,   351.79,   475.49
   93.25,   354.07,   600.40
  100.29,   474.44,   348.25
   96.66,   476.77,   473.20
   93.12,   479.03,   598.11
  100.13,   599.42,   345.94
   96.55,   601.73,   470.88
   92.97,   604.02,   595.79
  225.31,   349.67,   354.14
  221.79,   351.98,   479.07
  218.15,   354.26,   604.01
  225.17,   474.64,   351.84
  221.67,   476.95,   476.74
  218.00,   479.25,   601.69
  225.07,   599.62,   349.54
  221.51,   601.94,   474.45
  217.89,   604.23,   599.40
  350.33,   349.88,   357.72
  346.71,   352.18,   482.66
  343.14,   354.48,   607.57
  350.20,   474.85,   355.42
  346.58,   477.15,   480.35
  343.00,   479.46,   605.27
  350.04,   599.84,   353.12
  346.45,   602.12,   478.03
  342.87,   604.43,   602.99
  100.42,   348.46,   474.13
   99.21,   348.11,   599.10
   97.93,   347.80,   724.13
   98.28,   473.43,   474.44
   97.06,   473.08,   599.42
   95.77,   472.77,   724.40
   96.15,   598.41,   474.73
   94.91,   598.07,   599.71
   93.62,   597.77,   724.73
  225.44,   350.58,   475.38
  224.14,   350.24,   600.38
  222.95,   349.94,   725.38
  223.31,   475.57,   475.66
  221.99,   475.24,   600.68
  220.79,   474.91,   725.63
  221.14,   600.55,   475.98
  219.86,   600.21,   600.99
  218.66,   599.90,   725.98
