27, 125 pa2-debug-e-our-output2.txt
  199.73,   200.96,   208.24
  407.65,   390.85,   209.73
  100.40,   100.58,    99.83
   97.69,   104.06,   224.75
   95.07,   107.55,   349.66
  101.77,   225.51,    96.39
   99.06,   229.00,   221.29
   96.36,   232.53,   346.19
  103.07,   350.48,    92.80
  100.31,   353.94,   217.76
   97.88,   357.52,   342.69
  225.37,    99.30,   102.44
  222.69,   102.79,   227.47
  219.94,   106.34,   352.38
  226.75,   224.22,    99.18
  224.09,   227.77,   223.98
  221.24,   231.25,   348.91
  227.89,   349.27,    95.47
  225.44,   352.69,   220.49
  222.58,   356.21,   345.46
  350.25,    98.10,   105.32
  347.63,   101.52,   230.22
  344.99,   105.04,   355.11
  351.75,   222.90,   101.81
  348.95,   226.46,   226.74
  346.30,   229.98,   351.64
  352.95,   347.97,    98.25
  350.32,   351.45,   223.23
  347.64,   354.93,   348.16
   99.24,    98.14,   226.92
  102.63,   100.92,   351.88
  105.82,   103.68,   476.80
  102.73,   223.03,   224.08
  106.00,   225.82,   349.01
  109.39,   228.61,   473.96
  106.16,   347.97,   221.15
  109.61,   350.79,   346.08
  112.57,   353.39,   471.03
  224.20,    94.56,   223.69
  227.48,    97.43,   348.62
  230.82,   100.08,   473.55
  227.70,   219.52,   220.81
  230.84,   222.27,   345.73
  234.38,   225.06,   470.68
  231.21,   344.42,   217.92
  234.34,   347.21,   342.90
  237.90,   350.02,   467.75
  349.03,    91.00,   220.48
  352.47,    93.89,   345.36
  355.64,    96.56,   470.30
  352.51,   215.93,   217.61
  355.86,   218.70,   342.51
  359.15,   221.52,   467.48
  356.01,   340.89,   214.71
  359.34,   343.65,   339.62
  362.65,   346.48,   464.56
  100.50,   100.02,   351.40
   97.08,   100.67,   476.30
   93.94,   101.36,   601.29
  103.37,   224.97,   350.81
  100.17,   225.67,   475.76
   96.80,   226.30,   600.68
  106.47,   349.97,   350.17
  102.84,   350.49,   475.16
   99.96,   351.35,   600.11
  225.36,    97.12,   354.68
  222.11,    97.66,   479.66
  218.77,    98.43,   604.62
  228.23,   222.00,   354.08
  225.15,   222.67,   479.06
  221.65,   223.34,   603.99
  231.23,   347.00,   353.52
  228.17,   347.68,   478.40
  224.61,   348.29,   603.44
  350.34,    94.16,   357.96
  346.93,    94.73,   482.93
  343.74,    95.50,   607.85
  353.24,   219.04,   357.39
  349.95,   219.74,   482.39
  346.69,   220.44,   607.27
  356.23,   344.03,   356.79
  352.96,   344.73,   481.75
  349.61,   345.35,   606.70
   98.68,    99.65,   476.89
   96.24,   100.59,   601.90
   93.73,   101.50,   726.84
   96.68,   224.68,   475.96
   94.05,   225.55,   600.90
   91.58,   226.44,   725.92
   94.25,   349.52,   475.01
   92.11,   350.63,   599.96
   89.41,   351.44,   724.88
  223.73,   101.75,   479.48
  221.15,   102.76,   604.45
  218.49,   103.56,   729.43
  221.68,   226.78,   478.51
  218.90,   227.70,   603.47
  216.49,   228.62,   728.45
  219.56,   351.78,   477.48
  216.78,   352.66,   602.55
  214.33,   353.66,   727.46
  348.60,   103.94,   482.01
  346.15,   104.96,   606.93
  343.65,   105.70,   731.98
  346.52,   228.96,   481.08
  343.97,   229.90,   605.98
  341.47,   230.79,   731.00
  344.41,   353.97,   480.07
  341.77,   354.83,   605.06
  339.27,   355.77,   730.02
   99.68,   101.34,   601.27
   99.36,   101.56,   726.23
   99.28,   101.76,   851.22
  103.35,   226.25,   601.02
  103.18,   226.47,   726.05
  102.78,   226.67,   851.02
  107.30,   351.27,   600.81
  106.72,   351.47,   725.81
  106.50,   351.63,   850.82
  224.62,    97.61,   601.47
  224.32,    97.80,   726.44
  224.10,    98.14,   851.43
  228.28,   222.52,   601.23
  228.21,   222.72,   726.25
  227.88,   222.93,   851.24
  232.01,   347.44,   601.06
  231.95,   347.74,   725.99
  231.66,   347.99,   851.00
  349.59,    93.87,   601.64
  349.45,    94.12,   726.67
  349.29,    94.45,   851.62
  353.33,   218.82,   601.44
  353.12,   218.98,   726.49
  352.95,   219.16,   851.47
  357.03,   343.69,   601.24
  356.83,   343.97,   726.25
  356.64,   344.23,   851.24
  100.55,   226.44,   101.26
  100.71,   226.36,   226.24
  100.90,   226.27,   351.23
   99.42,   351.45,   101.24
   99.61,   351.37,   226.29
  100.00,   351.31,   351.28
   98.44,   476.46,   101.48
   98.44,   476.30,   226.47
   98.96,   476.34,   351.40
  225.54,   227.52,   101.09
  225.78,   227.45,   226.00
  225.84,   227.34,   351.00
  224.32,   352.59,   100.98
  224.73,   352.43,   226.09
  224.78,   352.35,   351.12
  223.61,   477.45,   101.42
  223.62,   477.39,   226.22
  223.69,   477.33,   351.23
  350.58,   228.53,   100.80
  350.68,   228.48,   225.82
  350.93,   228.38,   350.80
  349.37,   353.63,   100.84
  349.65,   353.51,   225.89
  349.86,   353.40,   350.90
  348.28,   478.46,   101.01
  348.63,   478.55,   225.94
  348.79,   478.39,   351.00
   98.71,   225.70,   224.99
   95.93,   226.28,   349.94
   93.23,   226.89,   474.89
   95.65,   350.66,   224.33
   93.11,   351.29,   349.28
   89.94,   351.73,   474.30
   92.57,   475.60,   223.73
   90.12,   476.27,   348.69
   87.04,   476.83,   473.75
  223.72,   228.76,   227.74
  220.78,   229.30,   352.71
  218.20,   229.85,   477.70
  220.72,   353.70,   227.10
  217.77,   354.28,   352.11
  215.18,   354.83,   477.01
  217.65,   478.62,   226.53
  214.72,   479.21,   351.49
  212.08,   479.71,   476.41
  348.56,   231.75,   230.55
  345.80,   232.32,   355.49
  343.01,   232.91,   480.49
  345.58,   356.74,   229.89
  342.78,   357.29,   354.86
  340.04,   357.89,   479.83
  342.62,   481.75,   229.22
  339.77,   482.25,   354.25
  337.03,   482.81,   479.21
  100.28,   225.60,   351.38
   96.96,   228.57,   476.29
   93.48,   231.47,   601.17
   98.53,   350.59,   348.35
   94.73,   353.39,   473.32
   91.73,   356.51,   598.22
   96.62,   475.57,   345.38
   92.89,   478.46,   470.38
   89.71,   481.38,   595.20
  225.16,   227.60,   354.73
  221.94,   230.54,   479.68
  218.29,   233.46,   604.58
  223.24,   352.58,   351.78
  220.03,   355.51,   476.62
  216.39,   358.41,   601.63
  221.26,   477.50,   348.80
  218.01,   480.38,   473.67
  214.52,   483.43,   598.61
  350.18,   229.61,   358.11
  346.76,   232.58,   483.06
  343.35,   235.52,   607.92
  348.25,   354.57,   355.12
  344.86,   357.55,   480.03
  341.37,   360.43,   604.98
  346.31,   479.52,   352.15
  342.94,   482.46,   477.06
  339.41,   485.40,   602.01
  100.31,   226.30,   473.90
   99.73,   222.51,   598.82
   99.32,   218.75,   723.81
  101.39,   351.09,   477.63
  101.32,   347.55,   602.57
  100.55,   343.77,   727.50
  102.84,   476.09,   481.39
  102.72,   472.45,   606.23
  101.88,   468.54,   731.35
  225.36,   224.86,   474.33
  224.69,   221.14,   599.24
  224.37,   217.36,   724.21
  226.78,   349.83,   478.00
  226.05,   346.05,   603.02
  225.74,   342.40,   727.89
  228.07,   474.70,   481.77
  227.49,   471.06,   606.75
  227.25,   467.22,   731.64
  350.22,   223.48,   474.78
  349.79,   219.78,   599.65
  349.34,   215.97,   724.64
  351.64,   348.45,   478.46
  351.12,   344.66,   603.41
  350.68,   340.97,   728.35
  353.03,   473.34,   482.21
  352.47,   469.62,   607.18
  352.05,   465.82,   732.12
   98.80,   226.77,   599.76
   95.75,   229.88,   724.71
   92.63,   233.00,   849.64
  101.08,   351.79,   596.71
   97.73,   354.86,   721.61
   94.92,   358.00,   846.50
  103.15,   476.70,   593.60
   99.87,   479.70,   718.62
   96.61,   482.85,   843.55
  223.70,   224.76,   602.94
  220.71,   227.86,   727.89
  217.41,   230.98,   852.79
  225.79,   349.69,   599.93
  222.79,   352.87,   724.78
  219.54,   355.98,   849.74
  227.94,   474.70,   596.85
  224.98,   477.74,   721.73
  221.71,   480.74,   846.78
  348.75,   222.78,   606.10
  345.66,   225.85,   731.08
  342.58,   228.97,   855.97
  350.80,   347.67,   603.08
  347.69,   350.82,   728.00
  344.61,   353.97,   852.90
  352.87,   472.65,   600.04
  349.77,   475.70,   724.96
  346.72,   478.84,   849.79
  100.34,   350.53,    98.78
   96.66,   349.10,   223.77
   93.27,   347.73,   348.70
   98.68,   475.52,   100.30
   94.83,   474.04,   225.20
   91.55,   472.74,   350.11
   96.82,   600.51,   101.49
   93.30,   599.10,   226.49
   89.59,   597.66,   351.40
  225.18,   352.30,   102.39
  221.73,   350.81,   227.44
  217.93,   349.39,   352.40
  223.79,   477.15,   104.10
  219.93,   475.75,   228.86
  216.15,   474.35,   353.80
  221.69,   602.34,   105.05
  218.21,   600.75,   230.25
  214.47,   599.35,   355.17
  350.17,   353.99,   106.11
  346.60,   352.53,   231.11
  342.96,   351.09,   356.05
  348.42,   478.82,   107.55
  344.88,   477.55,   232.44
  341.19,   476.06,   357.45
  346.64,   603.97,   108.84
  343.09,   602.48,   233.83
  339.46,   601.10,   358.77
  100.03,   350.98,   225.00
  102.38,   352.21,   349.97
  104.19,   353.24,   474.99
   96.40,   475.87,   223.95
   98.90,   477.19,   348.86
  100.75,   478.27,   473.89
   93.10,   600.91,   222.71
   95.20,   602.08,   347.68
   97.38,   603.17,   472.74
  225.08,   354.47,   222.79
  227.10,   355.68,   347.82
  229.52,   356.88,   472.71
  221.53,   479.38,   221.72
  223.55,   480.61,   346.70
