27, 125 pa2-debug-f-our-output2.txt
  194.38,   191.49,   187.70
  400.74,   395.11,   196.28
  101.05,   101.00,   100.26
   98.87,   100.05,   225.12
   96.61,    98.75,   350.18
  102.36,   225.99,   101.34
  100.19,   224.99,   226.33
   98.12,   223.87,   351.27
  103.70,   351.02,   102.42
  101.79,   349.89,   227.39
   99.56,   349.00,   352.22
  225.90,    99.46,   102.40
  223.76,    98.69,   227.38
  221.56,    97.54,   352.45
  227.43,   224.70,   103.34
  225.42,   223.39,   228.48
  223.27,   222.41,   353.60
  228.74,   349.61,   104.65
  226.48,   348.62,   229.46
  224.56,   347.56,   354.52
  350.97,    98.26,   104.56
  348.86,    97.01,   229.63
  346.62,    96.17,   354.60
  352.25,   223.05,   105.48
  350.11,   222.25,   230.77
  348.11,   221.21,   355.45
  353.73,   348.20,   106.78
  351.81,   347.09,   231.63
  349.40,   346.10,   356.62
  101.07,   101.73,   223.76
  100.43,   100.03,   348.85
   99.79,    97.77,   473.69
  100.76,   226.73,   225.86
   99.87,   224.78,   350.76
   99.08,   222.89,   475.53
  100.28,   351.88,   227.81
   99.65,   349.73,   352.48
   98.98,   347.77,   477.57
  226.14,   102.33,   224.37
  225.61,   100.16,   349.33
  224.68,    98.34,   474.34
  225.94,   227.23,   226.55
  224.89,   225.19,   351.44
  224.49,   223.39,   476.31
  224.99,   352.32,   228.44
  224.67,   350.38,   353.47
  224.02,   348.40,   478.45
  351.00,   102.75,   224.91
  350.20,   100.63,   350.10
  349.64,    98.72,   475.07
  350.58,   227.45,   227.09
  349.96,   225.48,   352.13
  349.43,   223.72,   476.97
  350.31,   352.45,   229.23
  349.40,   350.49,   354.08
  348.84,   348.79,   478.89
  100.03,   101.15,   349.62
  102.91,   104.44,   474.70
  106.26,   107.47,   599.74
   96.67,   226.26,   346.73
   99.76,   229.35,   471.65
  103.29,   232.55,   596.61
   93.59,   350.89,   343.58
   96.78,   353.96,   468.52
   99.96,   357.21,   593.49
  224.75,   104.31,   346.19
  228.01,   107.39,   471.39
  231.46,   110.64,   596.34
  221.39,   229.28,   343.41
  224.89,   232.29,   468.27
  228.25,   235.63,   593.17
  218.26,   354.24,   340.14
  221.50,   357.35,   465.06
  224.81,   360.30,   590.02
  349.57,   107.68,   343.08
  352.81,   110.78,   467.85
  356.08,   113.78,   592.93
  346.52,   232.55,   339.81
  349.93,   235.54,   464.98
  352.87,   238.44,   589.68
  343.44,   357.43,   336.92
  346.46,   360.35,   461.91
  349.85,   363.48,   586.78
   99.24,    98.07,   473.31
  103.07,    98.14,   598.46
  106.65,    98.45,   723.50
   96.56,   222.96,   473.46
  100.06,   223.08,   598.53
  103.77,   223.43,   723.20
   93.63,   347.87,   473.36
   97.07,   348.03,   598.42
  100.76,   348.34,   723.56
  223.93,   100.90,   470.06
  228.01,   101.07,   594.63
  231.34,   101.04,   719.89
  221.22,   225.99,   469.68
  224.94,   226.04,   594.73
  228.60,   226.11,   719.65
  218.27,   350.94,   469.82
  222.34,   350.92,   594.51
  225.70,   351.08,   719.57
  349.23,   103.93,   466.38
  352.86,   103.72,   591.11
  356.35,   104.10,   716.02
  346.06,   228.83,   466.18
  349.85,   228.95,   591.11
  353.63,   228.91,   716.20
  343.17,   353.76,   465.94
  346.88,   354.03,   591.14
  350.55,   354.14,   716.16
  100.13,    98.71,   599.94
  102.89,   102.26,   724.81
  105.98,   105.98,   849.81
  102.68,   223.88,   596.24
  105.53,   227.14,   721.04
  108.54,   230.91,   846.01
  105.00,   348.38,   592.66
  108.17,   352.01,   717.74
  111.20,   355.87,   842.61
  225.20,    96.23,   596.85
  227.92,    99.72,   722.19
  231.14,   103.31,   847.04
  227.64,   221.19,   593.46
  230.69,   224.72,   718.47
  233.54,   228.40,   843.24
  229.92,   346.12,   589.63
  232.90,   349.59,   714.44
  236.13,   353.29,   839.35
  349.89,    93.48,   594.25
  352.68,    97.23,   718.92
  355.87,   100.73,   844.00
  352.61,   218.44,   590.52
  355.29,   222.18,   715.53
  358.34,   225.83,   840.50
  354.97,   343.31,   586.63
  357.83,   347.17,   711.69
  360.81,   350.37,   836.71
  102.01,   224.60,   101.94
   99.75,   225.52,   226.79
   97.63,   226.76,   351.93
   98.39,   349.40,   100.94
   96.46,   350.41,   225.72
   94.16,   351.53,   350.69
   94.63,   474.37,    99.60
   92.43,   475.57,   224.49
   90.32,   476.80,   349.58
  226.90,   228.40,   103.89
  224.82,   229.37,   229.00
  222.80,   230.26,   354.11
  222.99,   353.05,   102.75
  220.78,   354.30,   227.98
  218.95,   355.51,   352.70
  219.49,   478.00,   101.64
  217.31,   479.19,   226.89
  215.32,   480.27,   351.76
  351.85,   232.11,   106.23
  349.68,   232.97,   231.08
  347.57,   234.08,   356.21
  348.21,   356.73,   104.98
  346.06,   358.16,   230.10
  344.04,   358.95,   354.97
  344.50,   481.74,   103.81
  342.46,   483.12,   228.86
  340.42,   483.92,   353.63
   99.02,   225.75,   225.02
  100.30,   225.25,   350.25
  101.15,   224.84,   474.96
  100.49,   350.67,   225.51
  101.55,   349.94,   350.51
  102.62,   349.68,   475.39
  101.63,   475.57,   226.09
  102.73,   475.10,   351.22
  103.88,   474.80,   475.95
  224.04,   224.49,   224.20
  225.26,   223.96,   349.06
  226.18,   223.28,   473.94
  225.38,   349.44,   224.48
  226.34,   348.66,   349.46
  227.56,   348.42,   474.67
  226.92,   474.16,   224.99
  227.93,   473.61,   350.03
  228.76,   473.43,   475.01
  349.18,   222.85,   223.00
  350.05,   222.70,   347.76
  351.43,   222.07,   472.94
  350.61,   347.93,   223.43
  351.60,   347.61,   348.42
  352.51,   347.02,   473.34
  351.57,   472.96,   223.89
  352.99,   472.67,   348.73
  353.72,   471.88,   473.71
   99.44,   226.37,   349.14
   99.49,   222.88,   473.94
   99.23,   219.48,   598.80
  100.44,   351.19,   352.68
  100.31,   347.88,   477.66
  100.31,   344.37,   602.34
