27, 125 pa2-unknown-g-our-output2.txt
  207.74,   193.25,   210.82
  401.70,   406.61,   208.57
   99.32,   101.81,   100.74
  100.86,    99.74,   225.71
  102.42,    97.67,   350.69
   95.96,   226.74,   102.86
   97.49,   224.68,   227.82
   99.03,   222.64,   352.79
   92.58,   351.72,   104.94
   94.15,   349.61,   229.90
   95.72,   347.51,   354.94
  224.27,   105.20,    99.26
  225.81,   103.13,   224.25
  227.36,   101.07,   349.21
  220.86,   230.12,   101.36
  222.45,   228.06,   226.38
  223.98,   225.99,   351.30
  217.60,   355.10,   103.48
  219.05,   353.02,   228.43
  220.62,   350.99,   353.45
  349.14,   108.54,    97.75
  350.77,   106.54,   222.76
  352.29,   104.45,   347.71
  345.81,   233.53,    99.91
  347.40,   231.50,   224.84
  348.93,   229.38,   349.82
  342.56,   358.49,   101.94
  344.03,   356.35,   226.91
  345.56,   354.34,   351.94
   99.06,   100.99,   225.72
  102.60,   102.01,   350.67
  106.10,   103.06,   475.62
  101.79,   225.94,   224.63
  105.30,   227.00,   349.54
  108.83,   228.02,   474.48
  104.51,   350.94,   223.49
  108.08,   351.94,   348.48
  111.56,   352.99,   473.45
  223.96,    98.25,   222.22
  227.51,    99.27,   347.18
  231.04,   100.30,   472.12
  226.73,   223.19,   221.15
  230.23,   224.21,   346.04
  233.75,   225.23,   470.97
  229.42,   348.16,   219.97
  232.97,   349.22,   344.98
  236.50,   350.29,   469.91
  348.91,    95.45,   218.67
  352.42,    96.50,   343.67
  355.97,    97.57,   468.63
  351.66,   220.49,   217.63
  355.16,   221.45,   342.55
  358.69,   222.45,   467.52
  354.38,   345.33,   216.43
  357.89,   346.44,   341.45
  361.42,   347.49,   466.39
  101.11,    99.77,   350.97
  102.49,    99.19,   476.00
  103.92,    98.57,   600.96
   99.21,   224.78,   351.58
  100.62,   224.16,   476.55
  102.04,   223.56,   601.53
   97.41,   349.71,   352.25
   98.75,   349.13,   477.28
  100.20,   348.54,   602.29
  226.07,   101.65,   349.58
  227.48,   101.05,   474.57
  228.88,   100.43,   599.54
  224.19,   226.62,   350.19
  225.61,   226.00,   475.16
  227.05,   225.38,   600.20
  222.34,   351.66,   350.86
  223.75,   351.09,   475.84
  225.10,   350.48,   600.80
  351.05,   103.52,   348.17
  352.45,   102.91,   473.16
  353.86,   102.29,   598.14
  349.18,   228.49,   348.79
  350.60,   227.88,   473.81
  352.01,   227.31,   598.80
  347.31,   353.50,   349.43
  348.74,   352.92,   474.40
  350.09,   352.29,   599.35
  101.50,   101.74,   475.21
  102.89,    98.23,   600.14
  104.23,    94.72,   725.07
  103.91,   226.67,   478.62
  105.29,   223.16,   603.54
  106.66,   219.63,   728.55
  106.31,   351.59,   482.19
  107.71,   348.10,   607.16
  109.00,   344.58,   731.98
  226.48,    99.37,   473.75
  227.82,    95.89,   598.69
  229.19,    92.40,   723.65
  228.89,   224.25,   477.19
  230.29,   220.72,   602.19
  231.64,   217.28,   727.12
  231.30,   349.29,   480.71
  232.61,   345.79,   605.62
  234.01,   342.21,   730.57
  351.47,    97.03,   472.33
  352.83,    93.53,   597.25
  354.18,    89.95,   722.20
  353.87,   221.87,   475.81
  355.24,   218.41,   600.76
  356.63,   214.98,   725.69
  356.28,   346.88,   479.26
  357.60,   343.35,   604.15
  358.99,   339.77,   729.13
  100.20,   101.66,   600.88
  100.41,   105.37,   725.83
  100.62,   109.05,   850.76
  103.37,   226.58,   597.12
  103.60,   230.28,   722.12
  103.76,   233.94,   847.07
  106.58,   351.48,   593.54
  106.76,   355.18,   718.39
  106.94,   358.81,   843.30
  225.12,    98.47,   600.74
  225.37,   102.16,   725.68
  225.60,   105.87,   850.64
  228.36,   223.31,   597.05
  228.56,   227.06,   721.99
  228.74,   230.76,   846.93
  231.48,   348.36,   593.31
  231.71,   351.98,   718.25
  231.99,   355.69,   843.23
  350.11,    95.30,   600.61
  350.32,    98.95,   725.56
