27, 125 pa2-unknown-h-our-output2.txt
  206.72,   190.65,   192.02
  406.13,   391.09,   204.26
  100.80,    98.60,   101.07
   99.47,   102.14,   226.04
   98.58,   105.80,   350.86
  101.62,   223.53,    97.45
  100.26,   227.20,   222.56
   99.13,   230.86,   347.55
  102.59,   348.34,    94.00
  101.19,   352.30,   218.96
  100.12,   355.81,   343.90
  225.69,    97.80,   102.49
  224.47,   101.47,   227.41
  223.29,   105.03,   352.39
  226.65,   222.55,    98.79
  225.51,   226.24,   223.85
  224.21,   229.94,   348.77
  227.43,   347.89,    95.35
  226.32,   351.16,   220.23
  225.22,   354.75,   345.13
  350.65,    97.11,   103.71
  349.68,   100.52,   228.68
  348.17,   104.06,   353.41
  351.77,   222.11,    99.87
  350.48,   225.62,   224.91
  349.05,   229.09,   349.91
  352.31,   346.71,    96.34
  351.30,   350.27,   221.54
  349.92,   354.23,   346.50
  100.36,   101.08,   223.88
  103.21,   100.01,   348.65
  106.03,    98.58,   473.71
  103.36,   226.04,   224.95
  106.33,   224.66,   349.82
  109.26,   223.76,   474.93
  106.26,   351.00,   226.08
  109.15,   349.75,   351.11
  112.22,   348.66,   476.13
  225.23,    98.13,   220.79
  228.23,    96.87,   345.66
  231.08,    95.73,   470.65
  228.24,   223.20,   222.04
  231.29,   221.69,   346.91
  234.26,   220.63,   472.02
  231.23,   348.25,   223.10
  234.23,   346.79,   348.11
  237.32,   345.62,   472.95
  350.29,    95.11,   217.78
  353.27,    93.93,   342.79
  355.99,    92.61,   467.70
  353.38,   219.96,   219.05
  356.23,   218.82,   343.89
  358.98,   217.77,   469.05
  356.10,   345.23,   220.04
  359.02,   344.00,   345.33
  362.24,   342.78,   470.14
   99.45,    99.69,   351.65
   95.98,   101.35,   476.58
   92.25,   103.26,   601.41
  100.41,   224.52,   349.73
   96.50,   226.39,   474.64
   92.92,   228.12,   599.47
  101.03,   349.60,   347.88
   97.32,   351.46,   472.98
   93.70,   353.34,   597.57
  224.53,    98.99,   355.28
  220.81,   100.73,   480.22
  217.32,   102.74,   604.93
  225.11,   224.14,   353.31
  221.46,   225.82,   478.53
  217.96,   227.64,   603.13
  225.95,   349.13,   351.51
  222.18,   350.89,   476.37
  218.61,   352.47,   601.45
  349.29,    98.51,   358.99
  345.62,   100.03,   483.64
  342.04,   101.96,   608.57
  349.88,   223.47,   357.21
  346.51,   225.30,   482.01
  342.81,   227.13,   606.91
  350.87,   348.44,   355.13
  346.98,   350.04,   480.13
  343.62,   351.88,   605.31
  101.10,   101.29,   475.10
  100.05,   100.79,   599.99
   98.86,    99.99,   724.94
  100.77,   226.52,   475.59
   99.70,   225.54,   600.75
   98.44,   225.07,   725.40
  100.44,   351.44,   476.44
   99.30,   350.56,   601.43
   98.10,   350.07,   726.13
  226.21,   101.53,   476.13
  225.00,   101.13,   601.32
  223.84,   100.19,   726.01
  225.76,   226.57,   476.81
  224.59,   226.00,   601.86
  223.36,   225.40,   726.90
  225.42,   351.54,   477.40
  224.61,   350.87,   602.53
  223.21,   350.14,   727.39
  351.17,   102.04,   477.49
  350.10,   101.19,   602.22
  348.79,   100.45,   727.56
  350.97,   226.98,   478.15
  349.60,   226.09,   603.20
  348.60,   225.63,   727.98
  350.52,   351.93,   478.68
  349.39,   351.33,   603.55
  348.34,   350.66,   728.63
   99.07,    99.69,   599.98
   97.04,    96.63,   725.14
   95.19,    93.75,   850.03
   98.19,   224.46,   602.87
   95.94,   221.71,   728.06
   94.27,   218.79,   852.91
   96.94,   349.41,   606.03
   94.95,   346.50,   731.10
   93.16,   343.57,   855.80
  224.01,   100.54,   602.23
  222.07,    97.62,   727.19
  220.15,    94.84,   852.08
  222.92,   225.81,   605.05
