27, 125 pa2-unknown-i-our-output2.txt
  203.22,   195.80,   198.68
  404.55,   398.56,   190.61
   98.29,   101.26,   101.49
   95.10,   100.63,   226.41
   91.72,   100.19,   351.49
   97.45,   226.19,   102.02
   94.12,   225.57,   226.99
   90.51,   225.20,   351.98
   96.22,   351.26,   102.72
   92.91,   350.74,   227.53
   89.77,   349.91,   352.49
  223.34,   102.29,   104.63
  220.00,   101.72,   229.83
  216.53,   100.95,   354.51
  222.31,   227.17,   105.51
  219.07,   226.60,   230.14
  215.70,   225.93,   355.34
  221.22,   352.36,   105.85
  218.01,   351.74,   230.74
  214.73,   351.23,   355.84
  348.33,   103.30,   108.18
  344.94,   102.60,   233.16
  341.62,   102.11,   357.92
  347.11,   228.27,   108.49
  343.68,   227.57,   233.72
  340.63,   227.18,   358.74
  346.03,   353.06,   109.03
  342.76,   352.79,   234.09
  339.55,   352.21,   358.97
  101.73,   101.53,   223.60
  103.87,    99.21,   348.49
  106.38,    96.93,   473.59
   98.19,   226.24,   225.83
  100.13,   224.41,   350.84
  102.38,   222.20,   475.92
   94.55,   351.42,   228.03
   96.84,   349.18,   353.19
   99.07,   346.74,   478.20
  226.82,   105.31,   221.24
  228.91,   103.03,   346.39
  231.38,   100.64,   471.48
  222.96,   229.99,   223.73
  225.49,   227.84,   348.54
  227.67,   225.85,   473.77
  219.59,   355.01,   226.15
  221.77,   352.64,   350.88
  223.66,   350.59,   476.06
  351.61,   108.74,   219.29
  353.80,   106.74,   344.31
  356.28,   104.32,   469.29
  348.12,   233.95,   221.70
  350.36,   231.57,   346.44
  352.55,   229.50,   471.34
  344.57,   358.87,   223.96
  346.47,   356.45,   348.96
  348.92,   354.35,   473.94
   99.83,    98.57,   349.47
  102.12,   100.69,   474.61
  104.37,   102.85,   599.64
  103.27,   223.41,   347.35
  105.60,   225.65,   472.21
  107.83,   227.90,   597.39
  106.45,   348.33,   344.97
  108.94,   350.47,   469.97
  111.09,   352.68,   594.88
  224.79,    95.18,   347.31
  227.10,    97.18,   472.39
  229.31,    99.68,   597.04
  228.10,   220.15,   344.89
  230.34,   222.33,   469.91
  232.70,   224.50,   594.90
  231.61,   344.90,   342.90
  233.94,   346.96,   467.59
  236.18,   349.30,   592.53
  349.82,    91.74,   345.15
  352.27,    93.75,   470.09
  354.33,    96.06,   595.09
  353.07,   216.77,   342.90
  355.37,   218.97,   467.71
  357.80,   221.19,   592.68
  356.43,   341.44,   340.39
  358.78,   343.98,   465.55
  361.24,   345.88,   590.32
  101.06,    99.80,   475.97
  104.40,    97.00,   600.98
  107.81,    94.15,   726.13
  100.75,   224.85,   478.89
  104.07,   222.02,   603.81
  107.56,   219.10,   728.67
  100.54,   349.70,   481.82
  104.25,   346.98,   606.76
  107.47,   344.20,   731.71
  225.92,   100.17,   472.75
  229.33,    97.23,   597.79
  232.73,    94.47,   722.46
  225.96,   224.79,   475.39
  229.26,   222.16,   600.49
  232.75,   219.22,   725.17
  225.39,   349.72,   478.48
  229.04,   347.19,   603.20
  232.64,   344.27,   728.27
  350.74,   100.27,   469.24
  354.31,    97.61,   594.28
  357.85,    94.71,   719.10
  350.67,   225.19,   472.18
  354.26,   222.58,   597.14
  357.69,   219.50,   722.00
  350.62,   350.36,   474.75
  354.04,   347.52,   599.85
  357.56,   344.52,   724.62
   98.46,    99.52,   598.63
   98.44,    98.07,   723.63
   98.16,    96.89,   848.71
   99.78,   224.50,   600.22
   99.76,   223.18,   725.03
   99.71,   221.77,   849.88
  101.26,   349.30,   601.03
  101.12,   348.13,   726.36
  101.07,   347.04,   851.41
  223.35,    97.81,   598.99
  223.43,    96.57,   723.94
  223.36,    95.23,   848.92
  224.96,   222.95,   599.96
  224.74,   221.63,   725.22
  224.60,   220.25,   849.95
  226.39,   347.73,   601.54
  226.24,   346.54,   726.58
  226.02,   345.63,   851.29
  348.46,    96.65,   598.74
  348.37,    95.03,   724.10
  348.07,    94.06,   849.01
  349.74,   221.64,   600.33
  349.65,   220.13,   725.07
  349.69,   218.72,   850.30
  351.12,   346.55,   601.58
  351.38,   345.17,   726.50
  351.08,   343.92,   851.53
  100.77,   224.49,   101.68
  100.95,   224.89,   226.80
  101.47,   225.06,   351.75
  102.37,   349.57,   101.49
  102.65,   349.89,   226.36
  103.02,   350.09,   351.34
  104.00,   474.29,   101.14
  104.18,   474.64,   225.95
  104.39,   475.06,   351.17
  226.06,   222.92,   101.43
  225.96,   223.15,   226.40
  226.31,   223.61,   351.67
  227.44,   347.95,   101.14
  227.54,   348.21,   226.21
  227.71,   348.28,   351.20
  229.01,   472.94,   100.81
  229.33,   473.22,   225.98
  229.23,   473.28,   351.08
  350.87,   221.27,   101.26
  351.22,   221.52,   226.29
  351.46,   222.07,   351.27
  352.48,   346.43,   100.92
  352.68,   346.80,   225.94
  352.88,   347.01,   351.00
  353.90,   471.14,   100.68
  354.25,   471.64,   225.62
  354.30,   472.09,   350.97
   99.84,   223.56,   224.79
   96.74,   222.24,   349.91
   93.78,   220.95,   474.80
   97.85,   348.34,   226.13
   94.62,   347.36,   351.07
   91.63,   346.11,   475.89
   95.67,   473.41,   227.07
   92.64,   472.32,   352.16
   89.47,   471.09,   477.10
  224.90,   225.76,   227.90
  221.69,   224.50,   353.21
  218.80,   223.05,   477.87
  222.91,   350.42,   229.14
  219.49,   349.38,   354.28
  216.43,   347.99,   478.93
  220.40,   475.42,   230.23
  217.31,   474.17,   355.09
  214.40,   473.02,   480.35
  349.83,   227.49,   231.24
  346.79,   226.51,   356.10
  343.47,   225.10,   481.03
  347.59,   352.72,   232.39
  344.62,   351.28,   357.44
  341.28,   350.33,   482.26
  345.61,   477.65,   233.49
  342.39,   476.24,   358.42
  339.37,   475.12,   483.45
  100.25,   223.58,   350.93
  100.11,   225.02,   475.80
   99.98,   226.47,   600.87
   96.99,   348.68,   349.53
   96.77,   350.14,   474.39
   96.70,   351.38,   599.63
   93.87,   473.58,   347.99
   93.48,   475.20,   472.94
   93.40,   476.59,   597.86
  225.16,   227.00,   351.26
  225.01,   228.43,   475.98
  224.93,   229.71,   601.30
  221.92,   351.68,   349.54
  221.73,   353.33,   474.82
  221.66,   354.79,   599.63
  218.67,   476.77,   347.96
  218.49,   478.47,   472.91
  218.36,   479.60,   598.17
  350.07,   229.86,   351.13
  349.70,   231.44,   476.07
  349.76,   233.20,   601.00
  346.97,   355.07,   349.69
  346.88,   356.54,   474.54
  346.68,   357.92,   599.57
  343.64,   479.93,   348.32
  343.30,   481.35,   473.32
  343.41,   482.93,   598.24
  100.39,   223.91,   473.25
  102.59,   224.73,   598.34
  104.56,   225.11,   723.16
   99.39,   349.01,   472.63
  101.52,   349.71,   597.52
  103.58,   350.03,   722.72
   98.09,   473.97,   472.03
  100.03,   474.59,   597.26
  102.20,   475.05,   721.87
  225.29,   225.33,   470.89
  227.49,   225.69,   596.23
  229.46,   226.40,   720.90
  224.30,   350.30,   470.65
  226.19,   350.92,   595.43
  228.25,   351.52,   720.31
  222.94,   475.09,   469.99
  224.93,   475.56,   594.91
  227.35,   476.31,   719.82
  350.26,   226.32,   469.03
  352.50,   226.74,   593.80
  354.57,   227.68,   718.91
  349.23,   351.38,   468.33
  351.31,   351.95,   593.29
  353.27,   352.47,   718.51
  348.19,   476.47,   467.91
  349.92,   476.84,   592.88
  352.25,   477.43,   717.72
   98.27,   226.81,   600.12
   97.65,   225.09,   725.08
   96.84,   223.40,   850.26
  101.40,   351.92,   601.91
  100.74,   350.01,   726.85
   99.86,   348.27,   851.85
  104.53,   476.78,   603.58
  103.53,   474.99,   728.72
  102.96,   473.11,   853.66
  223.42,   223.64,   600.95
  222.69,   222.15,   726.00
  221.68,   220.26,   850.99
  226.43,   348.78,   602.81
  225.59,   347.05,   727.50
  224.93,   345.10,   852.80
  229.39,   473.67,   604.31
  228.62,   471.86,   729.47
  227.91,   470.05,   854.23
  348.11,   220.69,   601.57
  347.60,   218.82,   726.49
  346.71,   217.30,   851.62
  351.33,   345.54,   603.50
  350.50,   343.72,   728.58
  349.83,   342.00,   853.43
  354.30,   470.46,   605.30
  353.54,   468.96,   730.15
  353.02,   467.13,   854.88
  102.16,   350.64,    98.87
   99.22,   347.53,   224.16
   96.78,   344.35,   348.71
   98.52,   475.63,   101.90
   95.63,   472.72,   226.90
   93.00,   469.47,   351.74
   94.94,   600.64,   105.13
   92.14,   597.54,   229.98
   89.47,   594.56,   354.66
  226.83,   354.31,   101.83
  224.16,   351.11,   226.48
  221.51,   348.25,   351.71
  223.21,   479.00,   104.64
  220.79,   476.18,   229.66
  217.94,   473.03,   354.40
  219.80,   604.13,   107.56
  217.06,   600.98,   232.55
  214.21,   597.82,   357.51
  351.84,   357.70,   104.57
  349.24,   354.80,   229.40
  346.31,   351.45,   354.21
  348.41,   482.67,   107.58
  345.50,   479.68,   232.30
  343.05,   476.49,   357.30
  344.75,   607.55,   110.26
  342.08,   604.48,   235.35
  339.37,   601.31,   360.31
   98.94,   351.14,   226.32
  100.92,   352.94,   351.56
  103.15,   354.79,   476.40
   97.64,   476.34,   224.83
   99.70,   478.01,   349.60
  101.71,   479.85,   474.51
   96.74,   601.15,   222.95
   98.77,   602.88,   347.92
  100.91,   604.65,   472.95
  223.87,   352.21,   224.15
  225.94,   354.21,   349.17
  227.87,   356.00,   474.27
  222.66,   477.18,   222.57
  225.06,   478.94,   347.55
  227.26,   480.97,   472.53
  221.72,   602.46,   220.93
  223.53,   604.00,   345.63
  225.94,   605.93,   470.73
  348.84,   353.37,   222.38
  351.11,   355.17,   347.16
  352.94,   356.96,   472.02
  347.70,   478.28,   220.62
  349.94,   480.17,   345.61
  351.83,   482.10,   470.36
  346.71,   603.23,   218.55
  348.85,   605.19,   343.74
  351.10,   606.90,   468.43
   99.44,   350.76,   348.54
   98.85,   350.24,   473.76
   98.79,   349.48,   598.59
   97.08,   475.86,   349.20
   96.48,   475.17,   474.44
   96.18,   474.81,   599.46
   94.48,   600.73,   349.91
   94.01,   599.96,   474.76
   93.79,   599.80,   599.59
  224.39,   353.38,   349.23
  224.08,   352.87,   473.95
  223.61,   352.00,   598.92
  222.06,   478.36,   349.49
  221.47,   477.99,   474.62
  221.16,   477.36,   599.60
  219.15,   603.38,   350.42
  219.01,   602.60,   475.33
  218.51,   602.26,   600.19
  349.34,   355.64,   349.29
  349.20,   355.10,   474.40
  348.52,   354.68,   599.58
  346.97,   480.79,   350.08
  346.69,   480.46,   474.96
  346.06,   479.63,   600.04
  344.47,   605.81,   350.48
  343.99,   605.22,   475.51
  343.60,   604.70,   600.59
  101.50,   349.24,   475.44
  102.90,   348.32,   600.34
  103.77,   347.04,   725.59
  102.49,   474.28,   476.65
  103.66,   473.03,   601.52
  104.65,   471.96,   726.58
  103.90,   599.32,   477.84
  104.97,   597.99,   602.72
  105.98,   596.90,   727.74
  226.45,   348.17,   474.41
  227.85,   347.18,   599.65
  228.76,   346.08,   724.53
  227.67,   473.30,   475.38
  228.72,   472.13,   600.42
  229.89,   471.07,   725.37
  228.82,   598.14,   476.83
  229.93,   597.11,   601.80
  231.13,   595.85,   726.50
  351.57,   347.35,   473.52
  352.81,   345.83,   598.33
