27, 125 pa2-unknown-j-our-output2.txt
  200.94,   207.84,   206.48
  406.37,   406.67,   200.75
   98.31,   101.54,    98.88
  101.17,   101.90,   223.85
  103.67,   101.85,   348.83
   99.79,   226.58,    98.60
  102.50,   226.85,   223.77
  105.37,   226.76,   348.69
  101.37,   351.56,    98.25
  103.94,   351.83,   223.29
  106.66,   351.92,   348.39
  223.32,   100.05,    96.26
  225.99,   100.40,   221.24
  228.76,   100.23,   346.28
  224.91,   225.06,    96.05
  227.52,   225.37,   220.83
  230.07,   225.52,   345.99
  226.36,   349.94,    95.90
  229.01,   350.18,   220.75
  231.61,   350.39,   345.58
  348.39,    98.37,    93.49
  351.06,    98.78,   218.65
  353.63,    98.84,   343.50
  349.74,   223.55,    93.34
  352.52,   223.76,   218.35
  355.24,   223.82,   343.24
  351.37,   348.47,    93.01
  353.83,   348.87,   218.05
  356.67,   348.90,   342.84
  100.82,    99.02,   226.50
  103.03,   101.36,   351.36
  105.59,   103.41,   476.52
   97.36,   224.00,   224.30
   99.58,   226.35,   349.20
  101.85,   228.41,   474.34
   93.97,   349.05,   222.30
   96.10,   351.29,   347.31
   98.16,   353.42,   472.43
  225.87,   102.79,   224.19
  228.13,   104.83,   349.13
  230.38,   107.01,   474.00
  222.12,   227.53,   222.17
  224.40,   229.69,   347.11
  226.65,   231.82,   472.08
  218.61,   352.61,   220.07
  221.05,   354.58,   344.85
  223.33,   356.74,   469.74
  350.59,   105.99,   222.04
  352.79,   108.27,   346.98
  355.35,   110.61,   471.79
  347.42,   231.29,   219.80
  349.58,   233.20,   344.91
  351.90,   235.31,   469.59
  343.80,   356.16,   217.84
  346.01,   358.24,   342.52
  348.02,   360.24,   467.70
   98.40,    98.45,   350.09
   96.63,    96.06,   475.13
   94.42,    93.23,   599.98
   95.83,   223.50,   352.54
   93.92,   220.69,   477.52
   91.98,   218.21,   602.51
   93.20,   348.34,   355.04
   91.09,   345.83,   480.18
   89.31,   343.09,   605.09
  223.40,   100.85,   351.92
  221.54,    98.53,   476.95
  219.64,    95.86,   601.95
  220.80,   226.12,   354.57
  218.86,   223.55,   479.47
  217.09,   220.77,   604.35
  217.97,   350.74,   357.26
  216.30,   348.30,   482.06
  214.23,   345.74,   606.95
  348.17,   103.72,   353.83
  346.52,   101.17,   479.01
  344.37,    98.36,   604.14
  345.82,   228.52,   356.65
  343.81,   226.20,   481.51
  341.96,   223.27,   606.53
  343.07,   353.61,   359.34
  340.97,   351.03,   483.89
  339.34,   348.37,   609.13
   99.36,   101.59,   474.05
  101.81,   100.78,   599.28
  104.14,    99.73,   724.01
  100.15,   226.66,   475.13
  102.77,   225.62,   600.02
  105.04,   224.86,   724.93
  101.31,   351.57,   476.11
  103.38,   350.86,   601.03
  106.02,   349.77,   726.17
  224.32,   100.88,   471.91
  226.78,    99.78,   596.60
  229.36,    99.01,   721.83
  225.25,   225.66,   472.57
  227.82,   224.74,   597.80
  229.97,   223.96,   722.66
  226.24,   350.65,   473.59
  228.82,   349.77,   598.78
  231.00,   348.75,   723.41
  349.37,    99.89,   469.17
  351.94,    98.78,   594.24
  354.40,    97.97,   719.16
  350.11,   225.00,   470.38
  352.59,   223.96,   595.37
  354.98,   223.01,   720.16
