150 PA5-A-Debug-Output.txt
        23.1241       -95.9744       -23.5601        -1.0696        24.9768      -120.0789
    39.66     9.77   -20.53    39.33     9.68   -20.41    0.355
    39.17    12.73     3.88    39.18    12.72     3.91    0.035
   -12.87   -25.17   -39.80   -12.52   -25.47   -39.95    0.479
   -37.12     2.63   -39.59   -37.04     2.58   -39.51    0.127
     2.12    17.45    52.15     2.18    17.22    52.19    0.244
    -6.46    21.31    24.55    -6.47    21.27    24.55    0.042
     1.23    20.53    22.00     1.20    20.82    22.05    0.292
   -19.76    -8.91    -1.74   -19.83    -8.93    -1.55    0.208
    -0.47    17.14     5.59    -0.54    17.19     5.57    0.089
   -16.29   -24.97   -41.27   -16.27   -25.00   -41.29    0.043
    20.10    -4.74    31.40    20.06    -4.62    31.38    0.126
   -23.62   -26.30   -40.11   -23.59   -26.17   -40.00    0.177
   -27.47    16.16   -23.90   -27.51    16.20   -23.88    0.058
   -33.11   -29.00   -30.50   -33.31   -29.36   -30.58    0.421
    13.87    21.49    41.70    13.91    21.63    41.70    0.142
    -6.25    -1.77    46.63    -6.20    -1.72    46.61    0.076
    30.49    23.95    -8.65    30.60    24.04    -8.63    0.143
    -4.99     3.39   -29.45    -4.98     3.40   -29.46    0.013
    -0.73    16.70    59.46    -0.81    16.82    59.42    0.143
    38.36     5.91   -22.86    38.51     5.90   -22.97    0.189
   -39.13   -15.07    -9.36   -39.30   -15.25    -9.14    0.339
    21.66   -14.92     1.65    21.40   -14.42     1.44    0.598
     2.76    -9.75    20.50     3.07    -9.29    20.46    0.548
    11.79    25.79    -6.43    11.86    25.73    -6.40    0.100
     9.06   -17.55    -6.28     8.99   -17.39    -6.32    0.176
     6.56    19.61    37.39     6.56    19.60    37.39    0.014
     2.80    -0.80   -24.67     2.75    -0.80   -24.62    0.068
    36.28    -2.98   -25.92    36.17    -2.95   -25.89    0.112
   -43.50    -5.80   -16.54   -43.61    -5.83   -16.64    0.153
    -3.69    19.34    12.50    -3.62    19.03    12.49    0.320
     1.30     8.38   -18.03     1.30     8.37   -18.02    0.013
    -4.76    20.73    28.44    -4.66    21.00    28.56    0.310
    36.48    -4.74    -7.81    36.55    -4.73    -7.84    0.081
