150 PA5-B-Debug-Output.txt
       111.3214      -131.8317        15.5130      -166.1757       105.2788        80.0208
     9.57     5.50   -24.95     9.57     5.50   -24.95    0.003
    24.44    10.54   -29.67    23.88    10.61   -29.70    0.569
     4.24    17.50    40.38     4.26    17.48    40.38    0.020
    31.26    23.76     5.86    31.21    24.17     5.88    0.418
   -29.16    -3.35   -41.03   -29.09    -3.43   -40.95    0.136
   -27.48   -32.14   -30.65   -27.39   -31.96   -30.59    0.208
    -8.65   -28.50   -18.45    -8.63   -28.54   -18.44    0.043
    15.45     2.88    48.40    15.37     2.95    48.35    0.116
   -26.00   -33.63   -26.69   -25.95   -33.23   -26.66    0.397
    -8.62    -0.61    40.20    -8.29    -0.67    40.21    0.326
     1.13    15.62    41.69     0.37    16.12    42.16    1.027
    10.25    -3.43    28.73    10.21    -3.05    28.72    0.381
    -5.23    12.52    13.42    -4.89    12.62    13.40    0.359
    -1.32    11.36    52.76    -1.63    11.53    52.85    0.366
     8.02    25.53     4.03     8.09    25.11     4.04    0.429
    -2.99     1.86   -31.09    -3.30     1.94   -31.02    0.330
   -41.12   -21.75   -11.95   -41.23   -21.94   -12.01    0.233
    -1.64   -19.59   -26.34    -2.06   -19.69   -26.24    0.452
     9.56    13.32    70.56     9.37    13.55    70.86    0.418
   -13.83   -17.49    -4.20   -13.92   -17.39    -4.31    0.170
    10.51   -17.19    -8.59    10.64   -17.03    -8.55    0.206
   -37.81   -12.49   -41.12   -37.79   -12.48   -41.05    0.070
    27.07    -9.00    -9.75    27.07    -8.99    -9.76    0.006
    20.05    15.71    41.50    19.67    15.83    41.43    0.399
    26.78    22.42   -35.95    26.68    22.40   -35.98    0.106
    20.68   -17.73   -13.87    20.64   -18.15   -14.03    0.451
    14.37     2.17    52.32    14.53     2.16    52.34    0.164
    23.16   -16.72    -7.09    24.41   -17.05    -7.08    1.296
     1.13   -12.68    -0.57     1.15   -12.42    -0.59    0.257
    36.97    20.18   -27.75    36.24    20.04   -27.14    0.960
   -16.62     6.97   -31.48   -16.62     6.96   -31.47    0.019
    -8.15    -2.84    56.28    -8.28    -2.86    56.29    0.128
    -8.65   -14.53   -41.33    -8.68   -14.42   -41.24    0.146
   -12.73   -27.51   -11.43   -12.66   -27.82   -11.24    0.373
    39.56    14.34   -27.25    40.12    15.19   -27.71    1.113
   -35.77    -2.70    -6.18   -35.76    -2.70    -6.16    0.016
    -5.69     5.29    27.99    -5.68     5.31    28.00    0.019
     0.15    15.84    38.65    -0.67    15.94    38.63    0.832
   -14.43   -30.71   -16.36   -14.40   -30.97   -16.27    0.284
    16.72     7.62    47.56    16.80     7.61    47.56    0.080
    43.41     3.91     3.70    44.24     4.21     3.62    0.887
    41.60    11.38   -22.74    41.83    11.54   -22.75    0.284
   -17.46    -3.92   -42.89   -17.34    -3.87   -42.94    0.140
   -31.40   -14.34    -2.08   -31.59   -14.04    -2.48    0.539
   -23.87     2.44   -38.83   -23.91     2.66   -39.10    0.353
   -35.65   -11.82   -41.88   -35.61   -11.81   -41.74    0.145
     6.39    24.77    11.04     6.47    24.49    11.01    0.291
    40.60    16.84   -12.05    40.06    16.31   -12.47    0.866
   -13.80     9.52   -27.65   -13.80     9.51   -27.65    0.011
    -0.95    11.76    56.57    -0.97    11.83    56.60    0.074
    -0.68   -11.36     5.78    -0.68   -10.99     5.84    0.378
   -24.96   -30.00   -34.93   -24.87   -29.65   -34.67    0.445
    -4.01   -22.99   -32.96    -3.98   -23.04   -32.55    0.407
    14.65   -17.60    -4.26    14.64   -17.31    -4.32    0.300
    -3.41    21.42    16.82    -3.58    21.67    16.69    0.329
    -0.45    -0.56   -29.12    -0.44    -0.55   -29.06    0.064
