150 PA5-C-Debug-Output.txt
       -17.6784        85.7487       -60.2054      -110.4010      -113.9631        15.7755
     4.93    -7.88    50.24     4.92    -8.00    50.24    0.119
   -38.81   -13.10   -38.55   -38.81   -13.10   -38.55    0.008
   -17.15   -34.73   -23.10   -17.16   -34.66   -23.10    0.079
    12.11   -14.84   -17.11    12.10   -15.00   -17.16    0.159
    -2.49    -1.29    43.80    -2.28    -1.20    43.77    0.221
   -26.72    11.88   -27.55   -26.71    11.87   -27.55    0.020
   -14.01    -4.95   -50.29   -14.19    -5.12   -50.06    0.333
    15.34    21.69    32.34    15.29    21.66    32.22    0.132
   -12.13    23.88    32.38   -12.33    23.91    32.40    0.200
    -6.63   -17.88    -8.38    -6.75   -17.79    -8.70    0.353
   -13.74    -3.08   -49.01   -14.00    -3.30   -48.68    0.476
    29.34   -10.62   -18.35    29.30   -10.57   -18.32    0.071
     0.86   -16.03    -3.48     0.89   -16.12    -3.41    0.113
     3.12    -8.09    52.07     3.13    -7.86    52.07    0.231
    10.66    23.53    35.51    10.85    23.78    35.56    0.315
    -0.37    22.98    47.38    -0.30    22.80    47.22    0.252
     1.49    -7.31    63.59     1.49    -7.32    63.69    0.103
    12.64    24.80    30.49    12.66    24.83    30.50    0.039
   -38.23   -19.81   -14.05   -38.13   -19.76   -14.10    0.120
    -1.72    10.72    36.45    -1.91    10.67    36.46    0.200
    -2.84    -2.40    34.30    -2.98    -2.47    34.34    0.162
     0.40   -20.11   -35.28     0.90   -20.22   -35.43    0.538
    12.47    28.42     0.43    12.53    28.02     0.42    0.401
   -23.10     6.35   -17.13   -23.25     6.54   -16.98    0.282
    28.06     6.77   -29.81    27.84     6.79   -29.65    0.277
    17.52    -5.77    18.35    17.60    -5.93    18.37    0.183
     9.56    21.20   -13.73    10.11    21.51   -13.72    0.628
    -4.78     0.07    28.39    -4.74     0.05    28.38    0.052
     9.00    23.62    -2.49     8.99    23.62    -2.49    0.005
    12.43    28.66     1.89    12.52    27.99     1.87    0.682
   -20.01    11.41   -38.55   -20.01    11.49   -38.62    0.099
   -41.29    -0.74   -28.29   -41.15    -0.83   -28.33    0.173
     1.79    -6.60    63.61     1.79    -6.60    63.68    0.071
     7.98     8.74    63.99     7.97     8.74    63.98    0.014
     9.99    11.62   -12.10     9.97    11.40   -12.00    0.247
     2.02    -7.33    43.08     2.10    -7.12    43.11    0.227
   -26.21    11.74   -26.11   -26.25    11.82   -26.08    0.093
    34.43     1.08   -13.00    34.44     1.08   -13.00    0.006
     1.43    -5.21   -25.19     1.65    -5.26   -25.84    0.693
    18.75    25.33   -22.38    18.62    25.21   -22.39    0.182
    31.06    10.25   -24.06    30.88    10.22   -24.09    0.184
     9.24    21.74    44.13     9.61    20.94    44.22    0.890
    21.57     6.54    34.66    21.87     6.54    34.66    0.298
   -22.72   -34.32   -20.65   -22.54   -34.91   -20.57    0.620
    36.24     3.54    -4.23    36.22     3.56    -4.22    0.029
    31.49    -4.38   -13.90    31.44    -4.34   -13.88    0.062
    10.61    28.98    11.31    10.61    28.98    11.31    0.005
   -30.14   -31.14   -18.76   -30.21   -31.20   -18.67    0.129
     6.49     4.49   -18.46     6.47     4.51   -18.52    0.065
   -17.92   -17.64   -50.34   -17.94   -17.49   -50.04    0.330
     9.94    -8.76    11.27     9.93    -8.68    11.26    0.090
   -26.29   -30.49   -13.81   -26.33   -31.16   -13.56    0.708
     2.54    29.35    18.69     2.53    29.29    18.71    0.057
    -1.72    -3.72    34.68    -1.80    -3.77    34.68    0.097
    23.36   -14.96   -18.56    23.16   -15.50   -18.58    0.582
     9.25    -6.78    42.45     9.21    -6.57    42.44    0.218
    12.37    24.98    30.60    12.36    24.95    30.59    0.029
    35.62     1.35    -1.10    35.84     1.56    -0.95    0.339
     8.85    19.63    -4.54     8.87    19.62    -4.51    0.045
   -30.34   -30.68   -17.82   -30.28   -30.92   -17.74    0.261
    -8.81    20.61    24.28    -8.72    20.72    24.37    0.168
   -30.13     6.11   -38.21   -30.21     6.20   -38.37    0.205
     1.10    -8.81    21.08     1.11    -8.90    21.10    0.093
     0.74    17.04    56.06     0.79    16.98    56.02    0.093
    30.99    16.77   -13.40    31.18    16.85   -13.36    0.207
   -32.91   -27.80   -16.41   -33.03   -28.03   -16.28    0.298
   -25.69   -31.42   -38.03   -25.73   -31.53   -38.17    0.177
   -11.52   -25.18   -10.31   -11.45   -25.20   -10.16    0.171
    12.37    24.44    32.06    12.37    24.40    32.07    0.035
    -4.53     9.53    -6.79    -4.33     8.59    -6.84    0.957
   -37.65   -13.81   -40.65   -37.85   -13.70   -40.66    0.226
    24.22    11.46    24.65    24.29    11.47    24.66    0.073
     3.27   -17.89    -9.06     3.92   -18.47    -8.90    0.888
   -16.66    -2.81    -1.69   -16.66    -2.81    -1.69    0.010
   -31.61   -14.02    -7.33   -31.54   -14.01    -7.67    0.348
