150 PA5-D-Debug-Output.txt
        -9.0568      -103.0229        58.5213       -94.5331         0.2313       114.4660
    36.79     3.12    13.85    36.74     3.11    13.79    0.072
    17.69   -11.66   -14.89    17.63   -11.61   -14.79    0.122
   -26.37   -32.84   -17.70   -26.30   -32.67   -17.75    0.187
     9.52    -9.90    11.03     9.18    -9.33    10.84    0.691
    15.74    28.12     6.92    15.74    28.10     6.92    0.024
   -14.12   -14.95    -2.21   -14.16   -14.90    -2.19    0.067
    39.81     4.11    -8.03    39.88     4.08    -8.05    0.069
    40.95     4.28    -5.53    41.32     4.12    -5.80    0.481
    -2.27    29.69    13.78    -2.36    29.29    13.87    0.417
    27.92    -1.75    21.16    27.88    -1.62    21.02    0.191
    21.68   -12.21    -3.58    21.67   -12.19    -3.61    0.039
    -1.86   -11.10    61.53    -1.89   -11.21    61.57    0.122
   -37.33    -0.19   -12.39   -37.33    -0.20   -12.40    0.020
    28.38    25.33     2.56    28.23    24.92     2.58    0.431
   -24.48   -17.74    -5.07   -24.45   -17.74    -5.03    0.046
    -4.59   -11.07    60.69    -4.59   -10.99    60.69    0.084
    23.33    27.87   -15.14    23.56    28.29   -15.06    0.488
    31.29    18.22   -27.38    31.33    18.20   -27.44    0.074
    15.02    14.25    60.77    15.16    14.65    61.02    0.492
    -3.52   -14.42    -2.08    -3.53   -14.36    -2.09    0.058
    31.59    24.13    -9.70    31.48    23.81    -9.71    0.344
    12.22    25.53    -7.99    12.22    25.53    -8.00    0.007
    25.25    -1.09   -27.69    25.24    -0.92   -27.53    0.227
     1.61    24.02    34.03     1.59    23.55    33.85    0.503
     4.14   -10.47    21.15     4.07   -10.17    21.09    0.312
    -0.17    12.76   -10.53     0.25    12.24   -10.34    0.692
     3.12   -14.54     1.12     2.97   -14.52     1.25    0.195
   -30.22   -24.77    -5.63   -30.28   -24.75    -5.53    0.116
    -4.36   -13.13     6.98    -4.46   -13.45     6.94    0.338
    -7.87    16.17    16.16    -8.00    16.17    16.21    0.147
   -42.29   -12.10   -10.04   -42.01   -12.07   -10.20    0.314
    31.48    -6.73   -11.71    31.56    -7.03   -11.69    0.307
    -6.60     3.28    47.83    -7.25     3.90    47.95    0.907
    19.47    21.78    27.06    19.39    21.25    27.03    0.536
   -40.10   -13.08    -8.35   -40.09   -13.08    -8.37    0.024
   -29.03   -19.98   -43.15   -29.17   -20.16   -43.76    0.647
    -4.18   -11.67    23.01    -4.15   -11.38    22.96    0.298
    13.45     5.30    61.48    13.35     5.25    61.78    0.315
    30.24    12.72   -32.42    30.34    12.84   -32.50    0.177
    22.36    -7.25    10.41    22.35    -7.39    10.41    0.143
    21.91     9.61    46.68    21.38     9.38    46.57    0.595
    12.00    28.39     9.63    12.00    28.35     9.62    0.048
    23.68    25.70     7.78    23.76    25.91     7.81    0.218
   -34.95     3.02   -12.92   -34.91     2.95   -12.98    0.102
   -38.64   -22.01   -10.03   -38.67   -22.04    -9.99    0.060
    -2.44   -12.00   -26.11    -2.35   -12.31   -26.20    0.344
    26.52    14.63    29.93    26.33    14.64    29.87    0.198
    32.11    -6.71   -16.00    32.22    -7.14   -15.97    0.444
    -9.08    20.01    14.66    -9.12    20.07    14.65    0.069
    -4.38   -11.28    51.92    -4.31   -11.13    51.92    0.163
   -10.41     5.82    -2.92    -9.98     5.55    -2.81    0.519
   -25.73     8.77   -21.96   -25.73     8.92   -21.95    0.147
    22.52     1.08    38.27    22.89     1.09    38.34    0.384
    33.90     4.87   -24.96    33.41     5.20   -24.70    0.644
    13.46    -7.57    16.01    12.72    -7.46    15.45    0.935
    18.57    12.41    54.83    18.65    12.47    54.84    0.101
    -0.06    -8.35    62.77    -0.06    -8.36    62.44    0.336
    24.82    12.88    36.28    24.86    12.85    36.30    0.067
   -33.30   -21.05   -40.80   -33.50   -21.22   -40.98    0.318
   -33.44   -30.95   -21.63   -33.32   -30.67   -21.65    0.308
    -2.96    11.45    -9.16    -3.00    11.65    -9.20    0.216
    -0.82   -15.03   -15.02    -0.82   -15.01   -15.01    0.025
   -17.90    -4.04   -42.60   -17.95    -4.07   -42.45    0.158
    13.25    14.29    62.71    13.32    14.40    62.83    0.176
   -11.80   -15.47    -3.73   -11.86   -15.59    -3.67    0.150
    27.52    21.01    21.71    27.25    20.84    21.51    0.374
    -2.81   -17.15   -22.18    -2.68   -17.15   -22.09    0.155
   -29.35     5.67   -14.10   -29.34     5.67   -14.09    0.018
     0.66   -10.17   -24.76     0.70   -10.23   -24.82    0.096
     3.61    -9.96    49.19     3.79   -10.18    49.19    0.285
    42.68     2.42     1.73    42.96     2.54     1.77    0.302
   -42.75    -5.50   -33.46   -42.78    -5.47   -33.46    0.037
    -4.08   -12.43    13.75    -4.15   -12.73    13.78    0.308
   -11.49   -29.46   -31.75   -11.45   -29.63   -31.82    0.190
    14.29    10.86    63.26    14.24    11.06    62.76    0.540
   -16.42     8.24   -30.35   -16.43     8.26   -30.36    0.028
   -19.78   -20.85    -6.03   -19.78   -20.87    -6.17    0.146
   -36.68     1.48   -12.92   -36.60     1.51   -13.04    0.149
