400 PA5-E-Debug-Output.txt
      -126.3019       180.3262        17.7535      -121.0306        20.0874      -139.8462
    11.03    -0.98    60.14    11.04    -0.90    60.33    0.204
    27.54     8.93   -27.31    27.50     9.15   -26.57    0.771
   -21.90   -24.03   -10.98   -21.83   -23.88   -10.41    0.597
    26.57    -3.62   -20.02    26.55    -3.39   -19.96    0.241
     7.15   -17.85    -3.57     7.44   -18.49    -3.46    0.717
   -10.84    17.24    35.38   -10.21    17.09    35.06    0.722
     6.34   -19.26    -6.28     6.73   -19.84    -5.90    0.795
   -30.71   -14.29   -57.89   -30.52   -14.26   -57.25    0.672
     8.87    19.74    44.50     9.16    18.85    44.38    0.944
   -20.88     1.75   -54.64   -21.05     1.68   -54.88    0.303
   -41.41     0.56   -42.80   -41.64     0.66   -42.88    0.258
    -4.32    17.17    22.65    -4.23    17.19    22.75    0.133
   -25.88   -14.26   -57.66   -25.88   -14.25   -57.49    0.170
    24.17    20.83   -14.88    24.03    20.69   -14.87    0.197
    12.45    -3.40    37.95    12.22    -3.75    37.97    0.426
   -19.80    14.26   -37.65   -19.76    14.42   -37.73    0.180
   -18.46   -23.74   -53.07   -18.88   -24.10   -53.69    0.839
     4.55    -3.46    60.54     4.31    -3.84    60.45    0.453
   -10.96    10.78   -28.94   -11.50    10.66   -28.74    0.589
    -4.47    21.82    36.93    -4.27    21.52    36.79    0.389
   -19.51   -22.22   -10.59   -19.50   -22.24   -10.39    0.201
   -13.11    11.79   -26.29   -13.13    11.52   -26.33    0.279
    -4.68   -22.33   -39.42    -4.57   -22.57   -39.56    0.289
    -0.38   -22.04   -33.84    -0.84   -22.12   -33.81    0.463
    21.31     6.77    24.82    21.33     6.77    24.82    0.023
     0.08    -0.96    27.35     0.43    -0.64    27.22    0.492
    -0.43     4.97    56.17    -0.46     4.93    56.17    0.048
   -30.77    10.15   -22.69   -30.86    10.29   -22.62    0.181
   -37.11   -10.69   -11.12   -36.94   -10.62   -11.14    0.185
    14.32    -2.84    33.34    14.28    -2.89    33.13    0.227
     0.88     2.76    60.49     1.02     2.85    60.38    0.198
    -1.96   -24.63   -35.45    -1.92   -24.65   -35.46    0.045
   -10.54    10.38   -24.75   -10.55    10.36   -24.75    0.027
     4.26   -13.08     2.14     4.33   -12.69     1.96    0.436
     7.07    -3.69    40.43     7.47    -3.26    40.22    0.623
     2.52     5.49    60.44     2.39     5.48    60.94    0.518
    -7.57    20.65    31.30    -7.69    20.91    31.31    0.281
    -1.62     2.35    22.56    -0.77     2.66    22.40    0.915
   -13.08     9.61   -20.42   -12.87     9.29   -20.68    0.462
    16.02    -5.04   -18.55    15.86    -4.90   -18.39    0.268
     1.18    18.41    18.47     1.65    18.06    18.83    0.682
    15.92    -2.84    28.33    15.92    -3.05    28.37    0.209
   -33.60    -8.85   -56.91   -33.64    -9.21   -55.05    1.891
    31.59     1.68   -13.52    31.66     1.62   -13.53    0.090
     8.43     1.70   -16.96     8.47     2.63   -17.28    0.982
   -19.86   -24.77   -10.97   -19.79   -24.64   -10.46    0.531
     3.29    17.77    44.22     3.56    17.57    43.89    0.477
   -24.41   -34.56   -39.70   -24.58   -34.87   -40.04    0.487
   -40.14     6.71   -36.16   -39.83     6.33   -36.25    0.499
    -1.51     6.77    52.65    -1.79     6.77    52.66    0.285
   -32.67    -1.69   -54.41   -32.71    -1.94   -53.83    0.632
    30.58     8.58   -20.40    30.38     8.50   -20.46    0.224
    -4.86     8.38    22.72    -5.23     8.02    23.07    0.621
    31.12     2.70     0.57    31.17     2.69     0.56    0.054
    19.11    -7.72    11.21    19.76    -8.22    11.31    0.829
   -13.94   -32.03   -31.53   -13.96   -31.98   -31.52    0.055
   -13.43   -31.67   -35.86   -13.68   -31.35   -35.83    0.408
    -7.70    -2.36     6.98    -8.00    -2.32     7.30    0.439
    28.31    16.04     2.19    27.66    15.78     2.03    0.714
    -1.21    14.33    42.76    -1.23    14.34    42.77    0.029
    -1.28     6.01    39.18    -0.52     6.51    38.86    0.974
   -10.67   -30.82   -28.60   -10.75   -30.68   -28.58    0.170
   -14.87    -3.02    -2.68   -15.61    -2.89    -2.05    0.981
    30.13     8.56     6.01    30.48     8.68     6.18    0.406
   -41.59   -22.90   -37.02   -41.49   -22.85   -37.01    0.116
   -23.32   -34.19   -28.59   -23.31   -33.79   -28.61    0.401
   -10.33     6.22   -32.31    -9.98     6.40   -32.30    0.394
    -0.75    10.52    47.92    -0.43    10.41    47.74    0.381
   -20.50   -25.91   -12.82   -20.52   -25.95   -12.81    0.044
    -9.95   -28.27   -38.40    -9.59   -28.61   -38.46    0.500
    12.12    -3.36    49.53    12.13    -3.42    49.55    0.058
     5.26    -2.86    40.97     5.28    -2.51    40.98    0.351
     6.84    -5.86    29.40     6.82    -5.86    29.40    0.014
   -33.68   -18.77   -12.00   -33.67   -18.77   -12.01    0.010
    10.70     4.46    60.10    10.19     4.51    60.24    0.533
    12.46    10.92    -2.75    12.44    10.97    -2.75    0.053
   -21.93    11.81   -44.02   -21.93    11.82   -44.07    0.054
    16.61    25.14    36.67    16.61    25.14    36.67    0.005
    14.57   -12.43     7.25    14.19   -11.74     7.02    0.820
   -28.79    10.53   -21.24   -28.77    10.44   -21.29    0.111
   -31.44    10.64   -25.18   -31.44    10.67   -25.18    0.027
    18.73     1.88    55.62    18.23     2.07    55.61    0.531
     5.05   -13.23     2.07     5.05   -12.76     1.86    0.510
   -29.48   -24.46   -13.21   -29.50   -24.53   -13.29    0.112
    -5.70   -23.56   -38.47    -5.51   -23.75   -38.59    0.291
   -17.27     5.03   -52.51   -17.28     4.90   -52.20    0.333
   -10.88    14.78    27.44   -11.13    14.75    27.28    0.303
   -31.14   -32.68   -40.54   -31.14   -32.77   -40.65    0.137
    21.95    -3.65     9.04    22.58    -4.00     9.30    0.771
    20.72    16.86    28.35    20.73    16.87    28.35    0.016
    11.40    -4.40    36.87    11.39    -4.45    37.02    0.161
     4.09   -24.37   -11.46     4.19   -24.57   -11.51    0.231
   -25.83   -25.96   -13.17   -25.83   -25.67   -13.26    0.307
   -40.52   -19.85   -46.88   -40.05   -19.69   -46.59    0.577
    16.66     3.98    59.57    16.90     4.02    60.09    0.579
     8.21    -3.65    60.37     8.75    -3.96    61.06    0.928
    30.05     1.56     4.23    29.94     1.63     4.21    0.137
    30.73    13.10    -7.33    30.66    12.96    -7.27    0.166
     8.38   -15.84     0.46     8.54   -16.06     0.66    0.346
    13.81     4.26   -16.36    13.90     4.16   -16.14    0.253
    15.16    11.10    -3.51    14.80    11.26    -3.77    0.469
    14.01    -7.20    21.08    14.42    -7.84    21.51    0.873
    -9.48    18.14    37.02    -9.09    18.04    36.82    0.450
