400 PA5-F-Debug-Output.txt
      -140.3130        22.2898        80.6816        66.7747       -46.6550       -35.7541
     8.05    -7.76    47.07     8.11    -7.51    47.16    0.266
   -21.71   -23.68   -11.20   -21.78   -23.85   -10.78    0.461
   -36.33   -14.49   -46.60   -36.10   -14.20   -46.34    0.451
     2.63    26.20    17.03     2.62    26.36    16.98    0.167
    -4.31    26.51    31.72    -4.35    26.43    31.67    0.105
    -4.78   -23.69   -13.66    -4.89   -23.44   -13.59    0.275
     0.61    22.36     8.12     0.87    22.37     8.52    0.478
   -11.72   -29.92   -28.76   -11.49   -30.34   -28.81    0.476
    29.68    14.60    17.21    29.59    14.57    17.19    0.104
     9.33   -14.16     3.54     9.23   -14.62     3.72    0.504
    -1.98    11.62    -3.31    -2.03    12.13    -3.42    0.529
    -2.63    13.35    54.00    -2.99    13.47    53.81    0.422
    26.67    -3.56    39.89    26.83    -3.63    39.91    0.178
   -12.13    -8.14     7.70   -12.10    -8.09     7.68    0.065
   -40.75   -18.98   -19.56   -40.56   -18.88   -19.81    0.322
   -19.71   -30.71   -18.33   -19.71   -30.71   -18.27    0.058
   -39.64   -21.75   -20.34   -39.47   -21.62   -20.39    0.226
   -19.99   -19.73    -9.08   -19.94   -19.67    -8.58    0.510
   -30.40     5.47   -42.10   -30.56     5.10   -41.86    0.475
    -4.19    12.32    47.98    -4.51    12.32    47.98    0.315
   -28.61     4.78   -16.19   -28.62     4.76   -16.21    0.027
   -27.99     5.66   -43.24   -27.64     5.26   -42.79    0.693
    14.65    25.61    35.06    14.54    25.49    35.18    0.198
   -30.27     9.11   -34.98   -30.32     8.75   -34.84    0.391
   -21.34    -0.53    -3.83   -21.13    -0.64    -3.98    0.280
    21.72     4.82    56.00    21.85     4.74    56.28    0.322
   -17.81    10.04   -36.66   -17.86     9.71   -36.61    0.334
   -29.01   -29.14   -18.99   -29.00   -29.08   -19.03    0.076
   -11.43    19.35    12.46   -11.63    19.51    12.12    0.419
   -25.03     0.34   -48.44   -25.05     0.31   -48.42    0.037
    27.96     2.11    48.40    27.34     2.24    48.31    0.633
   -14.74     9.46    13.14   -15.00     9.51    13.22    0.279
     7.40    21.49    -6.29     6.85    21.91    -6.35    0.697
   -15.42   -26.46   -15.99   -15.24   -26.07   -16.23    0.491
   -16.77   -26.31   -43.68   -16.77   -26.36   -43.75    0.086
   -13.93   -27.39   -41.18   -13.83   -27.56   -41.34    0.254
     5.22    25.81    28.36     5.21    26.10    28.35    0.294
    19.66   -13.17    -0.14    19.71   -13.36    -0.02    0.230
    -0.82   -19.34   -31.72    -0.70   -19.38   -31.76    0.129
   -30.06   -23.03   -12.41   -30.18   -23.26   -12.10    0.404
     5.37     1.73   -16.38     5.34     1.69   -16.38    0.048
    -1.47    -4.51    55.46    -1.44    -4.49    55.46    0.032
     9.46    26.35     3.12     9.41    26.47     3.21    0.157
   -11.23   -27.18   -37.90   -11.27   -27.00   -37.90    0.184
   -14.32   -31.07   -24.28   -14.40   -30.95   -24.33    0.146
    14.97    25.74    35.72    14.93    25.69    35.76    0.062
     0.67    22.79     8.27     0.86    22.78     8.51    0.307
    15.90    -6.25    38.82    15.92    -6.79    38.82    0.533
   -32.94   -22.44   -13.65   -33.21   -22.85   -13.05    0.772
   -27.71   -13.72   -50.49   -27.53   -13.47   -49.56    0.979
    36.99     8.10    11.83    36.97     8.08    11.82    0.022
   -43.84   -12.09   -27.71   -43.97   -12.12   -27.70    0.140
   -30.78    -5.46   -10.86   -30.27    -5.54   -11.51    0.825
    33.00     6.89   -20.06    32.72     6.98   -19.99    0.300
    34.98    -2.47     5.48    34.67    -2.28     5.49    0.359
   -25.86     8.45   -19.02   -25.86     8.73   -18.71    0.413
    16.58    25.98    26.60    16.02    25.23    26.60    0.931
   -11.72     9.14     0.84   -11.88     9.01     0.22    0.654
   -32.14    -4.70   -48.92   -31.94    -4.83   -48.60    0.401
   -15.31    17.77    14.30   -15.41    17.75    14.12    0.211
    -4.39    10.76    -3.49    -4.72    11.29    -4.22    0.968
    23.43     2.32   -23.92    23.31     1.92   -24.34    0.591
