150 PA5-G-Unknown-Output.txt
       -10.4171       163.4700        97.6845      -136.1517         4.0582        36.6848
   -28.90     3.11   -43.61   -28.91     2.82   -43.53    0.294
   -24.75   -33.14   -40.87   -24.79   -33.23   -40.93    0.115
   -26.32    -0.10   -17.44   -26.35    -0.18   -17.75    0.322
     4.98     0.15   -20.89     5.30     0.18   -21.10    0.388
    13.94   -13.19    -2.80    14.06   -13.34    -2.70    0.212
    14.54    -3.22   -20.08    14.55    -3.22   -20.09    0.013
     1.73    -5.09    54.32     1.92    -4.72    54.33    0.426
     6.84    15.87    61.14     6.77    15.85    61.13    0.075
    -0.33    25.77    19.72    -0.22    25.58    19.91    0.289
   -31.59   -12.32   -52.13   -31.38   -12.42   -51.80    0.402
     4.94    -2.17    67.72     4.93    -2.14    68.55    0.828
     2.96    21.08    35.53     3.10    21.00    35.44    0.186
    -8.89    -5.58   -45.50    -8.87    -5.44   -45.64    0.205
   -11.96     3.70   -34.13   -11.84     3.94   -34.16    0.261
    25.25    -3.75    -1.80    25.29    -3.79    -1.81    0.058
   -34.85    -4.69   -15.19   -34.90    -4.52   -14.79    0.438
   -31.94   -23.51   -49.10   -31.92   -23.48   -49.07    0.041
    16.02   -10.62    -1.05    16.13   -10.94    -0.88    0.391
   -39.40   -28.56   -30.09   -39.29   -28.42   -30.12    0.181
    -2.76   -22.41   -22.79    -2.95   -22.24   -22.83    0.255
   -25.49   -21.89   -11.56   -25.55   -22.12   -11.00    0.608
     6.26     5.34    68.90     6.59     5.03    68.60    0.545
   -18.84   -33.26   -28.85   -18.80   -33.63   -28.89    0.373
    35.78     4.20    -0.18    35.85     4.24    -0.11    0.115
    17.86    20.53   -14.86    17.79    20.53   -14.86    0.061
    -7.40   -19.32   -12.46    -7.45   -19.26   -12.64    0.194
    15.58    -2.52    19.94    15.53    -2.54    19.92    0.050
     9.68     4.69   -16.13     9.75     4.93   -16.40    0.367
   -11.38     3.29   -35.86   -11.30     3.46   -35.88    0.192
   -35.28     1.71   -20.30   -35.69     2.25   -20.21    0.685
    22.48    16.25   -24.23    22.23    16.18   -23.96    0.380
   -23.47   -13.27   -52.91   -23.43   -13.21   -52.99    0.116
   -45.30    -7.48   -38.01   -45.50    -7.38   -38.01    0.220
     9.71    -2.69    40.89     9.68    -2.64    40.90    0.052
    -1.33     2.22    50.75    -1.33     2.21    50.75    0.013
   -42.77    -4.53   -40.21   -42.89    -4.45   -40.30    0.172
   -10.11     0.56    -1.37   -10.74     1.46    -1.11    1.123
     0.68    -2.56   -25.08     1.05    -2.47   -25.53    0.586
   -31.18    -7.23   -14.21   -31.28    -6.88   -13.37    0.916
    19.26     3.69    59.79    18.95     3.71    59.75    0.309
   -17.30     7.45   -36.31   -17.25     7.53   -36.32    0.093
    17.30    22.73    32.67    17.25    22.65    32.69    0.098
   -36.90   -17.56   -49.34   -36.35   -17.54   -48.93    0.682
    33.62    12.76     0.24    33.49    12.73     0.25    0.128
   -30.20   -21.47   -11.54   -30.18   -21.49   -12.22    0.688
   -17.67   -24.76   -14.51   -17.84   -25.14   -14.28    0.479
    -7.28     5.04   -14.45    -7.08     4.63   -14.48    0.456
    19.94    22.37    40.75    20.03    22.75    40.76    0.401
    -9.90    -4.88     5.43    -9.82    -4.88     5.40    0.084
   -38.32   -26.79   -22.13   -38.39   -26.84   -22.07    0.104
   -33.43     5.82   -32.35   -33.67     6.20   -32.40    0.453
   -37.63   -11.49   -13.67   -37.59   -11.50   -13.59    0.090
    -5.29    -7.67   -33.09    -5.65    -7.52   -33.03    0.394
    20.98    15.45    43.39    21.21    15.79    43.49    0.428
     3.77    15.08    10.52     4.09    15.01    10.59    0.333
    -1.39    -2.44    44.58    -1.38    -2.37    44.54    0.089
    -9.21   -22.90   -43.69    -9.21   -22.89   -43.69    0.005
    24.33    20.79   -18.85    23.94    20.24   -18.31    0.859
     9.70    24.97    24.38     9.62    24.47    24.03    0.617
   -23.72     1.70   -18.22   -23.82     1.67   -18.03    0.216
   -19.75     3.22   -44.59   -19.79     3.05   -44.55    0.178
    28.25    11.42   -26.89    28.26    11.56   -26.95    0.162
   -15.80     5.03   -24.58   -15.79     4.93   -24.59    0.095
   -20.74   -31.86   -42.18   -20.78   -31.74   -42.13    0.140
    -1.65    22.26    17.23    -1.69    22.21    16.92    0.320
     0.05    17.06    16.43    -0.35    17.12    16.10    0.522
   -29.67   -26.19   -12.05   -29.78   -26.21   -11.99    0.123
     0.19    19.20    35.28     0.28    19.02    35.00    0.349
    -2.42   -21.35   -23.83    -2.37   -21.36   -23.84    0.054
     9.54    -2.77    48.75     9.49    -2.68    48.75    0.100
    31.04    -0.11    11.49    31.16    -0.21    11.49    0.159
    -8.79   -27.44   -39.40    -8.84   -27.21   -39.43    0.238
    23.33    16.45    26.30    23.09    16.38    26.27    0.248
    -2.38    -7.26   -28.47    -2.28    -7.35   -28.46    0.138
    19.29    24.89    -6.45    19.26    24.68    -6.43    0.216
   -13.40     4.93   -23.09   -13.44     4.61   -23.13    0.326
    -8.25     0.88   -31.59    -7.65     0.82   -31.60    0.598
   -29.90   -26.66   -12.27   -29.89   -26.67   -12.28    0.019
   -29.39     5.46   -20.31   -29.39     5.59   -20.25    0.145
    20.89    18.62    42.69    20.76    18.61    42.68    0.126
    21.17     7.53   -28.06    20.99     7.53   -28.15    0.200
   -14.55   -30.38   -40.04   -14.70   -30.15   -39.96    0.295
    15.91    -1.92    24.25    15.87    -2.23    24.28    0.313
   -32.91     2.89   -42.56   -33.03     3.11   -42.65    0.270
   -32.36   -33.09   -29.47   -32.31   -32.99   -29.47    0.110
    11.97    -2.05    30.49    12.32    -2.10    30.74    0.437
     4.35     7.37   -15.53     4.39     7.57   -15.73    0.288
    -8.59   -26.06   -41.54    -8.52   -26.07   -41.57    0.074
   -15.37     6.56   -36.64   -15.31     6.75   -36.68    0.204
   -24.98     7.07   -37.99   -24.96     6.83   -37.94    0.245
    -1.37    -1.87    49.00    -1.66    -1.95    48.97    0.298
   -38.26    -3.51   -44.94   -37.72    -3.56   -44.50    0.702
    27.98    14.57   -23.09    27.99    14.59   -23.13    0.047
    -2.08    -0.18    45.17    -2.39    -0.29    45.22    0.333
     4.68    15.59     9.45     4.68    15.59     9.46    0.009
    -1.50    15.99    33.27    -2.02    15.82    33.57    0.626
    -5.45    -5.66   -37.23    -5.47    -5.67   -37.23    0.017
   -21.42   -19.65   -51.75   -21.38   -19.68   -51.05    0.705
    11.61    -5.52    14.61    11.75    -5.85    14.80    0.408
    21.88    19.64    33.03    21.29    19.73    33.39    0.692
   -16.51   -21.97   -11.20   -16.38   -21.93   -11.40    0.244
   -10.49   -20.26   -47.52   -10.37   -20.43   -47.66    0.249
   -25.46   -22.88   -50.79   -25.44   -22.87   -50.76    0.033
     2.05   -10.64     6.34     1.88   -10.04     5.92    0.753
    -2.26   -13.62   -27.34    -2.40   -13.71   -27.28    0.175
   -31.57   -11.33   -12.25   -31.57   -11.22   -12.17    0.136
    -2.30    -6.51   -28.62    -2.12    -6.47   -28.82    0.277
    -1.66   -13.03   -26.68    -1.88   -13.10   -26.39    0.371
     5.34    -4.66    60.51     5.50    -5.81    60.51    1.159
    21.03    14.79   -26.00    20.76    14.72   -25.70    0.417
    -8.09   -27.51   -37.29    -8.22   -26.89   -37.35    0.632
    10.01     2.56    65.46     9.51     2.59    65.27    0.542
    29.54     4.25   -27.48    29.57     4.21   -27.53    0.073
    27.75     2.21    17.23    27.96     2.32    17.44    0.319
    -3.47    22.98    21.04    -3.31    22.85    21.07    0.207
     8.50     8.30   -13.61     8.55     8.70   -14.16    0.675
     8.64    14.01    -1.75     8.50    14.28    -1.97    0.374
    -6.46    -5.68    11.48    -6.12    -5.66    11.44    0.346
   -11.39   -29.51   -38.47   -12.05   -28.81   -38.14    1.018
    20.81    18.85    43.12    20.68    18.84    43.10    0.135
    -3.16    -0.46    21.72    -3.08    -0.53    21.72    0.107
   -14.09   -21.64   -48.58   -13.71   -21.76   -49.04    0.610
     2.46    26.39    24.37     2.48    26.56    24.42    0.180
   -41.91   -12.73   -15.48   -41.43   -12.44   -15.93    0.718
    -5.08   -13.56   -35.86    -4.73   -13.49   -35.92    0.360
    -4.71   -19.56   -37.74    -4.69   -19.57   -37.75    0.023
     1.54    10.80     9.94     1.46    10.92     9.91    0.146
   -27.96   -12.68   -53.20   -27.91   -12.72   -52.56    0.638
     6.83    -3.92    53.03     7.22    -4.40    52.98    0.619
    29.45    12.96    11.67    30.18    12.84    12.02    0.821
    28.66    14.69   -22.68    28.72    14.68   -22.71    0.070
     0.42    -4.39    66.86     0.34    -4.64    66.85    0.263
     9.84    -2.57    49.98     9.79    -2.50    49.98    0.086
   -46.47   -12.45   -40.65   -46.58   -12.49   -40.80    0.192
     2.81   -10.54   -22.30     2.43   -10.41   -22.06    0.467
   -18.54   -15.79   -52.03   -18.58   -16.11   -52.82    0.848
   -17.31   -30.18   -42.55   -17.30   -30.18   -42.56    0.013
     7.74    14.51     1.14     7.61    14.63     1.14    0.174
   -34.00   -22.41   -12.76   -33.50   -22.20   -13.42    0.852
     1.49   -13.16    -2.52     1.53   -13.59    -2.13    0.587
   -20.36   -19.99   -11.20   -20.18   -19.87   -11.46    0.338
    20.99    10.20   -26.83    21.07    10.32   -26.76    0.160
    -2.99    15.19    22.69    -2.99    15.19    22.70    0.004
   -30.59     3.98   -41.58   -30.64     3.71   -41.49    0.290
   -17.20     4.26   -42.27   -17.21     3.96   -42.08    0.354
     0.44     9.03    55.34     1.06     8.58    54.99    0.849
    11.69     2.09   -20.50    11.66     2.17   -20.57    0.115
    18.95    15.84   -26.35    18.99    15.79   -26.37    0.070
   -11.17     5.10   -23.23   -11.10     5.05   -23.31    0.119
    31.88    15.19   -14.44    31.99    15.33   -14.65    0.277
