400 PA5-H-Unknown-Output.txt
       -84.2299       180.6796       -14.8019       -19.2875       -85.1728        62.0377
   -18.35   -26.16   -48.22   -18.37   -26.31   -48.46    0.290
    26.11     3.64    28.82    26.22     3.62    28.85    0.114
    -4.98   -23.66   -21.39    -5.07   -23.50   -21.46    0.204
    24.56    14.08    39.19    24.72    14.09    39.25    0.179
   -15.36     9.77   -34.10   -15.41     9.62   -34.09    0.158
     3.68   -14.00   -17.52     3.84   -14.35   -17.79    0.470
    -1.31   -15.00   -30.65    -1.14   -14.88   -30.65    0.207
   -16.96   -25.80   -48.25   -16.89   -25.96   -48.53    0.328
   -37.95    -0.89   -37.86   -38.01    -0.85   -37.88    0.077
    -0.87   -17.51   -10.64    -1.01   -18.01   -10.46    0.545
    23.73    14.20    50.61    22.90    13.90    50.53    0.897
   -35.07   -18.40   -15.21   -35.16   -18.44   -15.16    0.108
    30.22     6.57    16.36    29.65     6.39    16.20    0.619
    28.25    -5.92    -3.79    28.07    -5.68    -3.72    0.309
    15.93   -11.25    -4.33    15.89   -12.24    -3.95    1.065
   -12.49   -23.84   -15.29   -12.19   -23.82   -14.94    0.464
    18.49    -3.76    39.03    18.82    -4.41    39.12    0.735
    -3.19    -6.49   -37.08    -3.16    -6.48   -37.08    0.038
    -0.58   -18.06   -11.65    -0.63   -18.35   -11.61    0.303
     8.44    -3.05   -20.27     8.44    -3.02   -20.31    0.055
    -1.04     4.35    40.38    -1.41     4.56    40.44    0.425
    31.64    11.61    -3.78    31.58    11.58    -3.76    0.073
   -28.06   -14.16   -51.35   -27.63   -14.27   -50.16    1.269
    14.19    -5.72    23.92    14.37    -6.56    23.56    0.926
    -7.08   -27.19   -40.44    -6.78   -27.49   -40.54    0.441
    13.44    -0.26   -21.91    13.17    -0.10   -22.20    0.427
    -3.22    -7.76   -37.68    -2.80    -7.88   -37.63    0.442
   -19.35   -13.91   -53.33   -19.30   -13.65   -53.54    0.338
    19.06    -6.29    15.06    19.03    -6.50    15.14    0.230
    10.55    -6.02    29.15    10.54    -5.96    29.12    0.070
   -39.57    -0.63   -32.09   -40.05     0.01   -32.02    0.804
    19.55    21.50    37.52    19.80    21.89    37.59    0.462
    23.65    16.08    34.05    23.72    16.09    34.03    0.074
     5.33    -6.43    49.60     5.30    -6.18    49.60    0.253
    -3.69     3.27   -22.76    -3.47     3.73   -22.93    0.538
    15.00   -10.65    -2.20    15.20   -11.15    -2.03    0.560
   -34.25   -16.24   -45.76   -34.19   -16.21   -45.69    0.105
    12.95   -15.04    -7.15    12.92   -14.85    -7.21    0.204
   -18.05     8.48   -39.81   -18.05     8.43   -39.79    0.056
    -3.04    -3.28   -34.92    -3.47    -3.29   -34.86    0.430
     9.20    12.99    -7.69     9.48    12.82    -7.53    0.370
    24.21    -2.37   -24.81    24.41    -2.44   -25.05    0.320
   -27.23   -30.65   -21.84   -27.55   -30.90   -21.71    0.426
    25.57    14.88    21.92    24.83    14.50    21.71    0.858
   -13.81   -32.83   -29.30   -13.86   -32.72   -29.33    0.122
   -10.04   -30.55   -26.25   -10.34   -30.12   -26.32    0.531
   -10.67    20.97    38.83   -10.22    20.90    38.69    0.473
    -4.62   -13.25    -0.24    -4.90   -12.43    -0.77    1.013
    24.16     7.65   -24.67    24.15     7.64   -24.71    0.038
    30.41    13.67    -4.47    30.40    13.66    -4.47    0.016
    -4.67     2.55   -28.74    -4.75     2.52   -28.73    0.085
     2.82    -7.87    25.97     2.94    -8.43    25.92    0.576
    22.04    17.20    59.56    21.83    17.16    58.81    0.781
   -34.48    -0.48   -42.58   -34.69    -0.25   -42.86    0.421
    -3.93    20.15    20.11    -4.43    20.30    19.88    0.572
   -22.07   -33.48   -35.97   -21.96   -33.01   -35.67    0.570
   -22.35     6.07   -44.16   -22.20     6.13   -44.04    0.204
   -30.47   -21.70   -47.26   -30.15   -21.59   -46.94    0.461
     6.78   -15.66    -9.96     6.96   -15.94    -9.94    0.330
