400 PA5-J-Unknown-Output.txt
        98.9304      -105.9997       -66.9068      -143.7371        26.6055       -63.3139
     1.12   -10.08    11.56     0.90   -10.59    11.64    0.568
    23.03   -10.78   -27.14    22.82   -10.43   -26.84    0.503
    -9.10     7.68    62.25   -10.26     7.75    62.21    1.171
   -27.66   -25.44   -41.10   -27.68   -25.51   -41.18    0.113
    11.86    10.96    64.55    12.73    11.92    64.88    1.344
     5.34     0.80    66.74     5.55     0.80    67.21    0.520
     2.58    -9.06    27.12     2.51    -9.17    27.15    0.131
    24.13    25.77     4.34    24.03    25.52     4.21    0.291
    13.91    20.71    -9.68    13.80    20.69    -9.77    0.150
    -7.01     1.37    67.33    -7.00     1.34    67.58    0.251
    -5.85     6.03    67.05    -5.79     6.04    66.86    0.195
    -6.24    -3.11    42.57    -5.75    -2.82    42.67    0.577
    -5.56   -18.38    -3.82    -5.62   -18.35    -3.69    0.145
    24.45   -16.25   -19.78    24.27   -16.23   -19.55    0.292
    30.38    26.03   -24.33    30.49    26.22   -24.42    0.235
    -6.66    -6.19    63.25    -6.65    -6.16    63.25    0.033
    23.33    11.86   -33.30    23.51    11.80   -33.26    0.198
   -10.42     3.65    63.66   -10.78     3.73    63.66    0.376
    20.94    18.01   -28.50    20.88    17.87   -28.43    0.169
    15.98    -2.07    27.17    16.59    -2.32    27.32    0.675
    22.39     5.20   -31.20    22.42     5.19   -31.10    0.099
   -20.74   -34.75   -24.04   -20.75   -34.19   -24.08    0.560
    25.68    28.28   -27.94    25.49    28.05   -27.82    0.324
    37.06    19.27   -10.47    36.84    19.15   -10.49    0.253
     5.19    13.98    69.04     5.15    14.26    69.35    0.424
    -0.24    -9.00    15.30    -0.17    -8.95    15.32    0.083
    11.16    22.62    18.87    11.21    23.19    18.79    0.575
    -3.90     8.40    -9.53    -3.87     8.18    -9.43    0.238
     1.91     0.52    67.60     1.68     0.53    67.74    0.274
   -37.75   -25.79   -28.68   -38.29   -26.06   -28.67    0.606
   -15.18   -27.31    -4.94   -15.52   -27.10    -5.18    0.464
     0.95    17.23     5.44     1.12    16.91     5.58    0.387
     1.01     3.02   -27.94     0.43     3.14   -27.02    1.096
    24.38    14.61   -34.63    24.40    14.65   -34.39    0.238
   -20.86   -34.89   -26.82   -20.95   -34.58   -26.85    0.321
     9.67    -7.30    21.05     9.67    -7.32    21.06    0.016
