150 PA5-K-Unknown-Output.txt
      -125.3244      -158.5241        33.0249        79.7028       122.4553       -69.7062
     3.76   -12.41    21.68     3.78   -11.23    21.71    1.179
     0.53   -10.52   -34.03     0.80   -10.64   -34.24    0.367
    23.56   -12.70   -10.45    23.57   -12.53   -10.37    0.194
   -40.75   -19.58   -29.46   -40.80   -18.84   -29.53    0.739
    42.48     3.15    -2.46    42.57     3.06    -2.46    0.132
   -14.38     7.53    -0.21   -14.08     7.23    -0.17    0.421
    10.07    23.75    30.26    10.09    23.74    30.26    0.015
    14.51    -3.44    52.55    14.48    -3.42    52.49    0.065
    -0.32    -0.42    53.84    -0.29    -0.40    53.89    0.062
   -28.82   -29.12   -33.61   -28.64   -28.69   -33.28    0.574
   -42.20    -8.14   -20.19   -41.63    -8.16   -20.11    0.577
   -17.57    12.18   -17.53   -17.67    11.95   -17.52    0.250
   -28.97   -26.60   -11.47   -28.96   -26.62   -11.48    0.025
     3.41   -21.55   -19.72     3.08   -21.09   -19.73    0.569
    33.87     3.32    22.85    33.70     3.34    22.79    0.188
    14.46   -16.91     2.83    14.32   -17.14     2.88    0.265
     5.55    -0.21    53.06     5.55    -0.16    53.15    0.105
    11.75    22.64    45.35    11.69    22.91    45.41    0.281
   -16.67   -29.32   -26.34   -16.68   -29.30   -26.33    0.019
   -31.39    10.19   -35.30   -31.37    10.26   -35.38    0.109
    39.27    -1.77   -17.26    39.36    -1.77   -17.24    0.088
   -17.67    -2.08   -46.43   -17.63    -2.07   -46.48    0.064
   -16.37    10.64   -25.64   -16.40    10.61   -25.63    0.047
    11.44    -8.03   -20.08    10.81    -8.66   -19.32    1.174
     1.76   -13.28   -33.26     1.26   -13.06   -32.77    0.737
    25.52   -10.28   -15.68    25.66   -10.19   -15.46    0.274
   -28.46   -11.21    -4.97   -28.47   -11.21    -4.92    0.049
   -10.81     8.22   -23.75   -10.98     7.74   -23.67    0.511
    42.31    13.85     2.89    42.05    13.86     2.89    0.259
   -22.52    -7.61   -48.57   -21.87    -7.12   -49.66    1.355
   -20.07   -28.95   -34.78   -20.04   -29.14   -34.85    0.211
   -10.52     6.82    45.72   -11.48     7.21    45.74    1.032
     7.00    -9.05    36.55     7.03    -8.91    36.58    0.149
     0.95    -7.32   -29.68     1.05    -7.21   -29.70    0.144
    11.99   -17.22    -4.09    11.98   -17.28    -4.09    0.070
     2.62    21.58    28.82     2.83    21.22    29.00    0.449
   -40.04   -12.86   -10.36   -40.10   -12.88   -10.24    0.138
    -7.21    -7.79    15.04    -6.78    -7.51    14.86    0.545
     8.87    -8.75    35.92     8.83    -9.02    35.85    0.279
    34.34    18.80   -19.54    34.12    18.73   -19.42    0.262
    -5.12   -17.99   -35.93    -5.06   -18.12   -36.06    0.200
    13.84   -15.23     5.94    13.78   -15.26     5.99    0.089
    27.96    25.21   -17.95    27.89    25.13   -17.94    0.111
   -17.01     6.78   -40.79   -17.00     6.73   -40.75    0.053
    26.58    13.55    27.08    26.82    13.91    27.37    0.520
    -2.13    -8.01   -35.73    -2.21    -7.63   -36.32    0.702
    16.70    14.67   -12.20    16.48    14.64   -12.25    0.228
   -19.80     8.70    28.59   -19.40     8.75    28.52    0.404
   -41.35     1.06   -13.04   -41.35     1.02   -13.05    0.037
   -17.33    10.42    11.78   -17.23    10.57    11.63    0.228
    -7.64    -9.53    10.02    -8.10    -9.99     9.71    0.712
    23.72   -16.52    -7.88    23.72   -16.43    -8.03    0.181
    -6.92     9.79    53.51    -6.71     9.38    54.32    0.940
    -5.15   -18.17   -36.05    -5.15   -18.17   -36.06    0.006
   -33.44     8.30   -37.06   -33.16     8.21   -36.95    0.318
   -13.84    12.16    11.79   -13.79    12.47    11.82    0.320
    27.46     1.87    36.13    27.45     1.88    36.12    0.011
    29.99     2.17   -29.27    29.90     2.06   -29.30    0.146
   -39.41     8.70   -19.87   -39.26     8.68   -19.91    0.153
    40.04     0.31    -9.63    39.94     0.50    -9.59    0.229
   -30.63   -10.20    -5.06   -29.84   -10.04    -4.37    1.055
    18.36    27.59   -11.27    18.63    28.29   -11.32    0.751
    21.24   -11.30   -14.26    21.25   -11.31   -14.27    0.021
   -19.13     3.89   -43.05   -19.08     4.15   -43.41    0.454
    -6.06    -9.19    13.76    -6.12    -9.23    13.79    0.078
     2.77    22.21    20.84     2.55    22.59    20.75    0.441
   -21.76   -11.11   -49.04   -21.73   -11.14   -49.13    0.095
     0.31   -12.65    15.04     0.51   -12.21    14.89    0.508
